module_number,concept,v1_status,v1_top,v3_change,mapping_status,confidence,top_qsen_statement_id,top_qsen_statement_text,top_qsen_domain,top_qsen_ksa,top_aacn_subcompetency_codes,alternate_qsen_statement_ids,candidate_set,rationale,review_notes,validation_errors,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-013,Diagnose medical conditions.,not_mappable,,confirmed,not_mappable,low,,,,,,,QSEN_0016; QSEN_0013; QSEN_0015; QSEN_0095; QSEN_0099; QSEN_0027; QSEN_0195; QSEN_0092; QSEN_0157; QSEN_0173; QSEN_0152; QSEN_0191,"Verified against all 207 statements: QSEN contains no diagnostic-reasoning competency. The only statement naming diagnosis, QSEN_0095, is about how evidence strength influences care, not about forming a diagnosis.","v1 status CONFIRMED, now on evidence rather than inference. Shares source task with RN-WPS-016 and RN-WPS-039; all three are not_mappable in v3. Route to AACN Domain 2 and the NCJMM clinical judgment layer.",,,,,
RN-WPS-014,Direct healthcare delivery programs.,not_mappable,,status_changed:not_mappable->draft_mapping,draft_mapping,low,QSEN_0167,"Participate as a team member to design, promote and model effective use of strategies to reduce risk of harm to self and others.",Safety Definition,Skills,5.1g; 5.3a,QSEN_0166; QSEN_0102; QSEN_0163,QSEN_0167; QSEN_0166; QSEN_0102; QSEN_0163; QSEN_0074; QSEN_0058; QSEN_0168; QSEN_0156; QSEN_0085; QSEN_0120; QSEN_0124; QSEN_0139,"Directing and coordinating an infection control programme is participating as a team member to design, promote and model strategies that reduce risk of harm.","CHANGED from not_mappable. The full index does contain participate-in-designing-systems statements (QSEN_0074, QSEN_0102, QSEN_0163, QSEN_0166, QSEN_0167) that the lexical set never offered. Shares source task with RN-WPS-005 and now carries the same top, resolving a v1 inconsistency.",,,,,
RN-WPS-015,Evaluate patient outcomes to determine effectiveness of treatments.,draft_mapping,QSEN_0134,top_changed:QSEN_0134->QSEN_0105,draft_mapping,medium,QSEN_0105,Initiate changes in approaches to care when new evidence warrants evaluation of other options for improving outcomes or decreasing adverse events,Evidence-Based Practice Definition,Skills,2.5c,QSEN_0103; QSEN_0099; QSEN_0013,QSEN_0105; QSEN_0103; QSEN_0099; QSEN_0013; QSEN_0134; QSEN_0136; QSEN_0119; QSEN_0130; QSEN_0092; QSEN_0111; QSEN_0016; QSEN_0026,Modifying a treatment plan in response to the patient's condition is initiating changes in approaches to care when evaluation warrants other options for improving outcomes.,"CHANGED from v1's QSEN_0134, which was flagged for a level mismatch: it measures the effect of a system-level change, where the task is patient-level. QSEN_0105 is patient-level and was absent from the lexical set. The mismatch flag is resolved.",,,,,
RN-WPS-016,Examine patients to assess general physical condition.,draft_mapping,QSEN_0016,status_changed:draft_mapping->not_mappable,not_mappable,low,,,,,,,QSEN_0016; QSEN_0013; QSEN_0015; QSEN_0027; QSEN_0195; QSEN_0095; QSEN_0157; QSEN_0173; QSEN_0152; QSEN_0159; QSEN_0021; QSEN_0099,"Verified against all 207 statements: QSEN has no general physical-assessment competency. Its only assessment statements concern pain (QSEN_0015), comfort (QSEN_0016), decisional conflict (QSEN_0020) and the nurse's own communication skill (QSEN_0024).","CHANGED from draft_mapping — a deliberate downgrade. v1 mapped 'perform physical examinations' onto 'assess levels of physical and emotional comfort', which a reviewer would rightly reject. Shares source task with RN-WPS-013 and RN-WPS-039; all three now agree.",,,,,
RN-WPS-017,Immunize patients.,not_mappable,,status_changed:not_mappable->draft_mapping,draft_mapping,low,QSEN_0029,"Provide patient-centered care with sensitivity [,empathy,] and respect for the diversity of human experience**",Patient-Centered Care Definition,Skills,2.1a; 2.1b; 2.2a; 2.8d; 9.2a; 9.2c; 9.2d; 9.2e; 9.3g; 9.5b; 9.6a,QSEN_0021; QSEN_0027; QSEN_0032,QSEN_0029; QSEN_0021; QSEN_0027; QSEN_0032; QSEN_0013; QSEN_0031; QSEN_0035; QSEN_0040; QSEN_0006; QSEN_0155; QSEN_0165; QSEN_0175,"The source task is broad care delivery — health care, first aid, immunisation, and convalescent or rehabilitative assistance — which is providing patient-centred care with sensitivity and respect for the diversity of human experience.","CHANGED from not_mappable, and it resolves a v1 inconsistency: RN-WPS-038 has the identical source task and v1 drafted it onto QSEN_0029 while refusing this row. Map from the task, not the concept label. Immunisation as a population intervention still belongs to AACN Domain 3.",,,,,
RN-WPS-018,Inform medical professionals regarding patient conditions and care.,draft_mapping,QSEN_0189,top_changed:QSEN_0189->QSEN_0161,draft_mapping,medium,QSEN_0161,"Communicate observations or concerns related to hazards and errors to patients, families, and the health care team**",Safety Definition,Skills,5.2b; 5.2d; 6.1e; 9.1e; 9.2g; 9.3b,QSEN_0071; QSEN_0073; QSEN_0026,QSEN_0161; QSEN_0071; QSEN_0073; QSEN_0026; QSEN_0014; QSEN_0067; QSEN_0072; QSEN_0084; QSEN_0056; QSEN_0189; QSEN_0175; QSEN_0192,Reporting symptoms and changes in condition to the care team is communicating clinical observations to that team. v1 was forced onto the EHR documentation statement because this one was absent from the candidate set.,"PARTIAL FIT, stated plainly: QSEN_0161 qualifies its observations as 'related to hazards and errors', which is narrower than routine condition reporting. QSEN_0071 (handoff communication practices) and QSEN_0073 (communication styles that diminish authority-gradient risk, relevant to informing a physician mid-anesthesia) are strong alternates. QSEN has no clean 'report clinical findings to the provider' statement.",,,,,
RN-WPS-019,Maintain inventory of medical supplies or equipment.,not_mappable,,status_changed:not_mappable->draft_mapping,draft_mapping,low,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0160; QSEN_0166; QSEN_0172,QSEN_0158; QSEN_0160; QSEN_0166; QSEN_0172; QSEN_0150; QSEN_0149; QSEN_0187; QSEN_0201; QSEN_0205; QSEN_0074; QSEN_0102; QSEN_0153,"Preparing rooms, sterile instruments and supplies and keeping stock maintained is carried out through standardized practices that support safety and quality.","CHANGED from not_mappable, resolving the inconsistency flagged in the v1 packet: RN-WPS-027 has the identical source task and was drafted onto QSEN_0158 while this row was refused. Both now agree. Inventory and resource stewardship as a systems function still belongs to AACN Domain 7.",,,,,
RN-WPS-020,Maintain medical facility records.,draft_mapping,QSEN_0207,top_changed:QSEN_0207->QSEN_0189,draft_mapping,medium,QSEN_0189,Document and plan patient care in an electronic health record,Informatics Definition,Skills,8.1c,QSEN_0196; QSEN_0188; QSEN_0181,QSEN_0189; QSEN_0196; QSEN_0188; QSEN_0181; QSEN_0187; QSEN_0185; QSEN_0198; QSEN_0192; QSEN_0207; QSEN_0202; QSEN_0184; QSEN_0041,"Maintaining accurate, detailed records is documenting patient care in the health record.","Fixes a KSA mismatch. v1 had to use QSEN_0207, an Attitude statement about valuing confidentiality, on a Skill task, because the Informatics documentation skills were absent from the candidate set.",,,,,
RN-WPS-021,Manage healthcare operations.,not_mappable,,status_changed:not_mappable->draft_mapping,draft_mapping,low,QSEN_0074,Participate in designing systems that support effective teamwork,Teamwork and Collaboration Definition,Skills,2.6b; 2.9b; 6.2a; 6.2e; 7.2f; 8.1f,QSEN_0058; QSEN_0065; QSEN_0085,QSEN_0074; QSEN_0058; QSEN_0065; QSEN_0085; QSEN_0102; QSEN_0120; QSEN_0124; QSEN_0139; QSEN_0147; QSEN_0055; QSEN_0057; QSEN_0056,Taking responsibility for a unit's staff is participating in designing systems that support effective teamwork.,"PARTIAL COVERAGE, stated plainly. The task names staff, budget, planning and long-range goals. Only the staffing clause has a QSEN counterpart; budget and strategic planning have none anywhere in the 207. CHANGED from not_mappable on the strength of the staffing clause alone — a reviewer who wants whole-task coverage should return it to not_mappable and route it to AACN Domains 7 and 10.",,,,,
RN-WPS-022,Monitor health or behavior of people or animals.,draft_mapping,QSEN_0192,top_changed:QSEN_0192->QSEN_0130,draft_mapping,low,QSEN_0130,Use quality measures to understand performance,Quality Improvement Definition,Skills,3.1f; 3.5e; 4.2a; 4.2e; 5.1h; 7.3b,QSEN_0069; QSEN_0065; QSEN_0175,QSEN_0130; QSEN_0069; QSEN_0065; QSEN_0175; QSEN_0055; QSEN_0138; QSEN_0137; QSEN_0119; QSEN_0142; QSEN_0192; QSEN_0196; QSEN_0010,Observing nurses and visiting patients to ensure proper nursing care is using quality measures to understand performance.,"CHANGED from v1's QSEN_0192 and now identical to RN-WPS-035, which shares the source task and received a different top in v1. The concept label 'Monitor health or behavior of people or animals' remains a generic O*NET work-activity label; map from the task.",,,,,
RN-WPS-023,"Monitor patient conditions during treatments, procedures, or activities.",draft_mapping,QSEN_0175,top_changed:QSEN_0175->QSEN_0159,draft_mapping,low,QSEN_0159,Demonstrate effective use of strategies to reduce risk of harm to self or others,Safety Definition,Skills,3.6d; 3.6e; 5.2c; 5.2e; 5.3a; 8.3e,QSEN_0175; QSEN_0191; QSEN_0016,QSEN_0159; QSEN_0175; QSEN_0191; QSEN_0161; QSEN_0016; QSEN_0150; QSEN_0158; QSEN_0189; QSEN_0206; QSEN_0192; QSEN_0015; QSEN_0187,Monitoring a patient during treatment for reactions and deterioration is the use of strategies to reduce the risk of harm.,REVIEWER CHOICE. QSEN_0159 is a Skill and matches the task's KSA level; QSEN_0175 is an Attitude whose content ('vigilance and monitoring') is closer to the words of the task. v1 used QSEN_0175 and was flagged for the mismatch. Pick the axis you want the crosswalk to honour and apply it consistently across the monitoring rows.,,,,,
RN-WPS-024,Monitor patient progress or responses to treatments.,draft_mapping,QSEN_0016,top_changed:QSEN_0016->QSEN_0013,draft_mapping,low,QSEN_0013,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",Patient-Centered Care Definition,Skills,2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,QSEN_0016; QSEN_0021; QSEN_0192,QSEN_0013; QSEN_0016; QSEN_0021; QSEN_0192; QSEN_0099; QSEN_0105; QSEN_0103; QSEN_0026; QSEN_0175; QSEN_0134; QSEN_0015; QSEN_0027,"This statement's scope explicitly includes evaluation of care, which is what monitoring progress and response to treatment is.",The v1 false positive is now excluded from the candidate set entirely: QSEN_0006 scored 0.23 on the phrase 'all aspects' alone. QSEN_0021 is the alternate if the reviewer wants the diet-and-activity self-management reading. Same source task as RN-WPS-025; both rows are given the same set and the same top so one decision covers both.,,,,,
RN-WPS-025,Monitor patients following surgeries or other treatments.,draft_mapping,QSEN_0016,top_changed:QSEN_0016->QSEN_0013,draft_mapping,low,QSEN_0013,"Elicit patient values, preferences and expressed needs as part of clinical interview, [diagnosis], implementation of care plan and evaluation of care**",Patient-Centered Care Definition,Skills,2.1b; 2.1c; 2.5b; 2.5g; 2.8d; 2.8e; 2.9a; 9.2a; 9.2b; 9.2c; 9.5b; 9.5c; 9.6a,QSEN_0016; QSEN_0021; QSEN_0192,QSEN_0013; QSEN_0016; QSEN_0021; QSEN_0192; QSEN_0099; QSEN_0105; QSEN_0103; QSEN_0026; QSEN_0175; QSEN_0134; QSEN_0015; QSEN_0027,"Post-procedure monitoring is ongoing evaluation of care, the clause this statement carries.","Identical source task and candidate set to RN-WPS-024, deliberately. If the reviewer prefers a complication-surveillance reading for the post-surgical case specifically, QSEN_0159 is the statement to add — but then RN-WPS-024 and RN-WPS-025 diverge on a shared task and that divergence should be recorded as intentional.",,,,,
RN-WPS-026,Order medical diagnostic or clinical tests.,draft_mapping,QSEN_0091,top_changed:QSEN_0091->QSEN_0195,draft_mapping,low,QSEN_0195,"Search, retrieve, and manage data to make decisions using information and knowledge management systems",Informatics Definition,Skills,8.2c,QSEN_0191; QSEN_0091; QSEN_0095,QSEN_0195; QSEN_0191; QSEN_0091; QSEN_0095; QSEN_0092; QSEN_0187; QSEN_0125; QSEN_0193; QSEN_0089; QSEN_0099; QSEN_0104; QSEN_0136,"Ordering, interpreting and evaluating diagnostic tests is searching, retrieving and managing data to make decisions using information and knowledge management systems.","CHANGED from v1's QSEN_0091 so that this row and RN-WPS-006, which share the identical source task, now agree. Test ordering may exceed RN scope in some jurisdictions; flag alongside the prescribing rows if the reviewer is drawing a scope line.",,,,,
RN-WPS-027,Prepare medical supplies or equipment for use.,draft_mapping,QSEN_0158,confirmed,draft_mapping,low,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0160; QSEN_0166; QSEN_0172,QSEN_0158; QSEN_0160; QSEN_0166; QSEN_0172; QSEN_0150; QSEN_0149; QSEN_0187; QSEN_0201; QSEN_0205; QSEN_0074; QSEN_0102; QSEN_0153,"Preparing sterile instruments, equipment and supplies is the use of standardized practices that support safety and quality.","v1 top CONFIRMED. Identical candidate set and top to RN-WPS-019, which shares the source task — the v1 inconsistency between these two rows is resolved.",,,,,
RN-WPS-028,Prepare patients physically for medical procedures.,insufficient_evidence,,status_changed:insufficient_evidence->draft_mapping,draft_mapping,low,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0023; QSEN_0160; QSEN_0016,QSEN_0158; QSEN_0023; QSEN_0160; QSEN_0016; QSEN_0029; QSEN_0026; QSEN_0062; QSEN_0021; QSEN_0013; QSEN_0031; QSEN_0040; QSEN_0159,Physical preparation of a patient for a procedure is carried out through standardized practices that support safety and quality.,"v1 could not be drafted: 11 of 12 candidates were filler, the worst set in the batch. QSEN_0023 (informed consent) and QSEN_0160 (pre-procedure checklists) are the alternates. Shares source task with RN-WPS-008; see the note there on why different tops are defensible.",,,,,
RN-WPS-029,Prescribe assistive medical devices or related treatments.,not_mappable,,confirmed,not_mappable,low,,,,,,,QSEN_0104; QSEN_0099; QSEN_0092; QSEN_0093; QSEN_0106; QSEN_0022; QSEN_0012; QSEN_0112; QSEN_0091; QSEN_0105; QSEN_0113; QSEN_0100,"Verified against all 207 statements: QSEN contains no prescribing competency, and prescribing exceeds the registered-nurse scope this crosswalk targets.",v1 status CONFIRMED on evidence. SCOPE MISMATCH: the row derives from an O*NET registered-nurse profile that blends RN and advanced-practice tasks. Recommend moving to the source exclusion list beside *CIP Code and Provider rather than leaving it in the review queue.,,,,,
RN-WPS-030,Prescribe medications.,not_mappable,,confirmed,not_mappable,low,,,,,,,QSEN_0104; QSEN_0099; QSEN_0092; QSEN_0093; QSEN_0106; QSEN_0022; QSEN_0012; QSEN_0112; QSEN_0091; QSEN_0105; QSEN_0113; QSEN_0100,"Verified against all 207 statements: no prescribing competency exists in QSEN, and prescribing exceeds registered-nurse scope.",v1 status CONFIRMED on evidence. Same scope mismatch and same recommendation as RN-WPS-029; the two share a source task and should be excluded together.,,,,,
RN-WPS-032,Record patient medical histories.,draft_mapping,QSEN_0189,confirmed,draft_mapping,medium,QSEN_0189,Document and plan patient care in an electronic health record,Informatics Definition,Skills,8.1c,QSEN_0188; QSEN_0181; QSEN_0196,QSEN_0189; QSEN_0188; QSEN_0181; QSEN_0196; QSEN_0185; QSEN_0187; QSEN_0192; QSEN_0198; QSEN_0207; QSEN_0202; QSEN_0180; QSEN_0184,Recording patient information and vital signs is documenting patient care in the electronic health record.,"v1 top CONFIRMED against the full index. Identical top to RN-WPS-020, which is correct: both tasks are clinical documentation.",,,,,
RN-WPS-033,Refer patients to other healthcare practitioners or health resources.,draft_mapping,QSEN_0020,top_changed:QSEN_0020->QSEN_0026,draft_mapping,medium,QSEN_0026,Communicate care provided and needed at each transition in care**,Patient-Centered Care Definition,Skills,2.2b; 2.9a; 2.9b; 2.9e; 6.1b; 6.3c; 6.4d; 8.4b,QSEN_0020; QSEN_0066; QSEN_0071,QSEN_0026; QSEN_0020; QSEN_0066; QSEN_0071; QSEN_0010; QSEN_0051; QSEN_0078; QSEN_0084; QSEN_0021; QSEN_0006; QSEN_0064; QSEN_0067,Referring a patient to a specialised resource or community agency is communicating the care provided and the care needed at a transition in care.,"CHANGED from v1's QSEN_0020. A referral is a care transition, which QSEN_0026 names directly; QSEN_0020's resource-access clause matched on wording but its subject is decisional conflict. QSEN_0026 was absent from the lexical set.",,,,,
RN-WPS-034,Supervise patient care personnel.,draft_mapping,QSEN_0010,top_changed:QSEN_0010->QSEN_0065,draft_mapping,medium,QSEN_0065,Clarify roles and accountabilities under conditions [Guide the team in managing areas] of potential overlap in team member functioning**,Teamwork and Collaboration Definition,Skills,2.6c; 2.9c; 6.1a; 6.2a; 6.2b; 6.2c; 6.2e; 6.2f; 6.3a; 6.3b,QSEN_0049; QSEN_0063; QSEN_0050,QSEN_0065; QSEN_0049; QSEN_0050; QSEN_0063; QSEN_0062; QSEN_0069; QSEN_0066; QSEN_0080; QSEN_0056; QSEN_0055; QSEN_0196; QSEN_0010,Directing and supervising less-skilled personnel is clarifying roles and accountabilities and guiding the team where member functioning overlaps.,"This is the clearest win from regeneration. Delegation and supervision are genuinely well covered by the Teamwork and Collaboration scopes-of-practice family (QSEN_0049, QSEN_0050, QSEN_0062, QSEN_0065), and the lexical matcher offered none of them.",,,,,
RN-WPS-035,Supervise workers providing client or patient services.,draft_mapping,QSEN_0010,top_changed:QSEN_0010->QSEN_0130,draft_mapping,low,QSEN_0130,Use quality measures to understand performance,Quality Improvement Definition,Skills,3.1f; 3.5e; 4.2a; 4.2e; 5.1h; 7.3b,QSEN_0069; QSEN_0065; QSEN_0175,QSEN_0130; QSEN_0069; QSEN_0065; QSEN_0175; QSEN_0055; QSEN_0138; QSEN_0137; QSEN_0119; QSEN_0142; QSEN_0192; QSEN_0196; QSEN_0010,Observing nurses and visiting patients to ensure proper nursing care is using quality measures to understand performance.,"CHANGED from v1's QSEN_0010 and now identical to RN-WPS-022, which shares the source task. Distinct from RN-WPS-034 (QSEN_0065), whose task is directing and delegating rather than observing — a difference the source tasks support.",,,,,
RN-WPS-036,Test biological specimens to gather information about patient conditions.,not_mappable,,confirmed,not_mappable,low,,,,,,,QSEN_0195; QSEN_0187; QSEN_0193; QSEN_0186; QSEN_0126; QSEN_0127; QSEN_0128; QSEN_0158; QSEN_0180; QSEN_0192; QSEN_0097; QSEN_0129,"Verified against all 207 statements: performing laboratory tests has no QSEN counterpart. QSEN_0195 concerns using data to make decisions, not producing it.","v1 status CONFIRMED on evidence. The v1 candidate set for this row was a pure lexical artifact, matching on the token 'information'; the regenerated set contains the genuinely nearest statements and none of them fit.",,,,,
RN-WPS-037,Train caregivers or other non-medical personnel.,insufficient_evidence,,status_changed:insufficient_evidence->draft_mapping,draft_mapping,low,QSEN_0106,"Role model clinical decision making based on evidence, clinical expertise and patient/family preferences and values",Evidence-Based Practice Definition,Skills,1.3b,QSEN_0069; QSEN_0117; QSEN_0102,QSEN_0106; QSEN_0069; QSEN_0117; QSEN_0102; QSEN_0060; QSEN_0196; QSEN_0049; QSEN_0186; QSEN_0200; QSEN_0065; QSEN_0111; QSEN_0168,Instructing auxiliary personnel is most closely represented by role modeling clinical decision making for others.,"WEAKEST DRAFT IN THE BATCH. QSEN contains no statement about teaching, precepting, or training others; the whole competency set is written about the nurse's own practice. Even with all 207 statements available, this row has no good home. Teaching sits in AACN Domains 6 and 10. The reviewer may reasonably return this row to not_mappable.",,,,,
