review_id,record_type,bridge_id,wps_task_id,source_file,rapids_code,variant,process_raw,task_raw,proposed_qsen_statement_id,match_score,review_reason
WPS_REVIEW_0025,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0026,WPS_2074CB_COMPETENCY_BASED_T23_R03_A,wps_competency_2074.docx,2074CB,competency_based,Maintain inventory of medical supplies or equipment.,"A. Prepare rooms, sterile instruments, equipment, or supplies and ensure that stock of supplies is maintained.",QSEN_0115,0.0671,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0026,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0027,WPS_2074CB_COMPETENCY_BASED_T24_R03_A,wps_competency_2074.docx,2074CB,competency_based,Prepare medical supplies or equipment for use.,"A. Prepare rooms, sterile instruments, equipment, or supplies and ensure that stock of supplies is maintained.",QSEN_0115,0.0671,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0027,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0028,WPS_2074CB_COMPETENCY_BASED_T25_R03_A,wps_competency_2074.docx,2074CB,competency_based,Test biological specimens to gather information about patient conditions.,A. Conduct specified laboratory tests.,QSEN_0108,0.1515,no_confident_match
WPS_REVIEW_0028,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0029,WPS_2074CB_COMPETENCY_BASED_T26_R03_A,wps_competency_2074.docx,2074CB,competency_based,Monitor health or behavior of people or animals.,A. Observe nurses and visit patients to ensure proper nursing care.,,0.0,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0029,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0030,WPS_2074CB_COMPETENCY_BASED_T27_R03_A,wps_competency_2074.docx,2074CB,competency_based,Supervise workers providing client or patient services.,A. Observe nurses and visit patients to ensure proper nursing care.,,0.0,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0030,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0031,WPS_2074CB_COMPETENCY_BASED_T28_R03_A,wps_competency_2074.docx,2074CB,competency_based,"Assess patient work, living, or social environments.","A. Assess the needs of individuals, families, or communities, including assessment of individuals' home or work environments, to identify potential health or safety problems.",QSEN_0136,0.2856,no_confident_match
WPS_REVIEW_0031,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0032,WPS_2074CB_COMPETENCY_BASED_T29_R03_A,wps_competency_2074.docx,2074CB,competency_based,Administer anesthetics or sedatives to control pain.,"A. Administer local, inhalation, intravenous, or other anesthetics.",QSEN_0014,0.1046,no_confident_match
WPS_REVIEW_0032,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0033,WPS_2074CB_COMPETENCY_BASED_T30_R03_A,wps_competency_2074.docx,2074CB,competency_based,Assist healthcare practitioners during examinations or treatments.,A. Prepare patients for and assist with examinations or treatments.,QSEN_0018,0.1505,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0033,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0034,WPS_2074CB_COMPETENCY_BASED_T31_R03_A,wps_competency_2074.docx,2074CB,competency_based,Prepare patients physically for medical procedures.,A. Prepare patients for and assist with examinations or treatments.,QSEN_0018,0.1505,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0034,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0035,WPS_2074CB_COMPETENCY_BASED_T32_R03_A,wps_competency_2074.docx,2074CB,competency_based,Train caregivers or other non-medical personnel.,A. Provide or arrange for training or instruction of auxiliary personnel or students.,QSEN_0198,0.142,no_confident_match
WPS_REVIEW_0035,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0036,WPS_2074CB_COMPETENCY_BASED_T33_R03_A,wps_competency_2074.docx,2074CB,competency_based,Diagnose medical conditions.,"A. Perform physical examinations, make tentative diagnoses, and treat patients en route to hospitals or at disaster site triage centers.",QSEN_0027,0.1026,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0036,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0037,WPS_2074CB_COMPETENCY_BASED_T34_R03_A,wps_competency_2074.docx,2074CB,competency_based,Examine patients to assess general physical condition.,"A. Perform physical examinations, make tentative diagnoses, and treat patients en route to hospitals or at disaster site triage centers.",QSEN_0027,0.1026,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0037,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0038,WPS_2074CB_COMPETENCY_BASED_T35_R03_A,wps_competency_2074.docx,2074CB,competency_based,Refer patients to other healthcare practitioners or health resources.,A. Refer students or patients to specialized health resources or community agencies furnishing assistance.,QSEN_0117,0.1434,no_confident_match
WPS_REVIEW_0038,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0039,WPS_2074CB_COMPETENCY_BASED_T36_R03_A,wps_competency_2074.docx,2074CB,competency_based,Treat medical emergencies.,"A. Perform physical examinations, make tentative diagnoses, and treat patients en route to hospitals or at disaster site triage centers.",QSEN_0027,0.1026,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0039,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0040,WPS_2074CB_COMPETENCY_BASED_T37_R03_A,wps_competency_2074.docx,2074CB,competency_based,Advise communities or institutions regarding health or safety issues.,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.,QSEN_0104,0.1472,no_confident_match
WPS_REVIEW_0040,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0041,WPS_2074CB_COMPETENCY_BASED_T38_R03_A,wps_competency_2074.docx,2074CB,competency_based,Conduct research to increase knowledge about medical issues.,A. Engage in research activities related to nursing.,QSEN_0097,0.303,ambiguous_match
WPS_REVIEW_0041,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0042,WPS_2074CB_COMPETENCY_BASED_T39_R02_X,wps_competency_2074.docx,2074CB,competency_based,Provider,Name:,,0.0,no_confident_match
WPS_REVIEW_0042,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0043,WPS_2074CB_COMPETENCY_BASED_T39_R03_X,wps_competency_2074.docx,2074CB,competency_based,Provider,Address:,,0.0,no_confident_match
WPS_REVIEW_0043,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0044,WPS_2074CB_COMPETENCY_BASED_T39_R04_X,wps_competency_2074.docx,2074CB,competency_based,Provider,Email:,,0.0,no_confident_match
WPS_REVIEW_0044,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0045,WPS_2074CB_COMPETENCY_BASED_T39_R05_X,wps_competency_2074.docx,2074CB,competency_based,Provider,Suggested Related Instruction Hours: X,QSEN_0101,0.1527,no_confident_match
WPS_REVIEW_0045,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0046,WPS_2074CB_COMPETENCY_BASED_T40_R02_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3818,,0.0,no_confident_match
WPS_REVIEW_0046,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0047,WPS_2074CB_COMPETENCY_BASED_T40_R03_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3806,,0.0,no_confident_match
WPS_REVIEW_0047,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0048,WPS_2074CB_COMPETENCY_BASED_T40_R04_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3801,,0.0,no_confident_match
WPS_REVIEW_0048,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0049,WPS_2074CB_COMPETENCY_BASED_T40_R05_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3805,,0.0,no_confident_match
WPS_REVIEW_0049,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0050,WPS_2074CB_COMPETENCY_BASED_T40_R06_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3820,,0.0,no_confident_match
WPS_REVIEW_0050,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0051,WPS_2074CB_COMPETENCY_BASED_T40_R07_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3899,,0.0,no_confident_match
WPS_REVIEW_0051,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0052,WPS_2074CB_COMPETENCY_BASED_T40_R08_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3812,,0.0,no_confident_match
WPS_REVIEW_0052,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0053,WPS_2074CB_COMPETENCY_BASED_T40_R09_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3802,,0.0,no_confident_match
WPS_REVIEW_0053,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0054,WPS_2074CB_COMPETENCY_BASED_T40_R10_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3803,,0.0,no_confident_match
WPS_REVIEW_0054,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0055,WPS_2074CB_COMPETENCY_BASED_T40_R11_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3810,,0.0,no_confident_match
WPS_REVIEW_0055,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0056,WPS_2074CB_COMPETENCY_BASED_T40_R12_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3815,,0.0,no_confident_match
WPS_REVIEW_0056,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0057,WPS_2074CB_COMPETENCY_BASED_T40_R13_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3821,,0.0,no_confident_match
WPS_REVIEW_0057,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0058,WPS_2074CB_COMPETENCY_BASED_T40_R14_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3816,,0.0,no_confident_match
WPS_REVIEW_0058,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0059,WPS_2074CB_COMPETENCY_BASED_T40_R15_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3814,,0.0,no_confident_match
WPS_REVIEW_0059,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0060,WPS_2074CB_COMPETENCY_BASED_T40_R16_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3819,,0.0,no_confident_match
WPS_REVIEW_0060,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0061,WPS_2074CB_COMPETENCY_BASED_T40_R17_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3822,,0.0,no_confident_match
WPS_REVIEW_0061,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0062,WPS_2074CB_COMPETENCY_BASED_T40_R18_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3808,,0.0,no_confident_match
WPS_REVIEW_0062,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0063,WPS_2074CB_COMPETENCY_BASED_T40_R19_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3824,,0.0,no_confident_match
WPS_REVIEW_0063,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0064,WPS_2074CB_COMPETENCY_BASED_T40_R20_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3811,,0.0,no_confident_match
WPS_REVIEW_0064,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0065,WPS_2074CB_COMPETENCY_BASED_T40_R21_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3813,,0.0,no_confident_match
WPS_REVIEW_0065,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0066,WPS_2074CB_COMPETENCY_BASED_T40_R22_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,51.3809,,0.0,no_confident_match
WPS_REVIEW_0066,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0067,WPS_2074CB_COMPETENCY_BASED_T40_R23_X,wps_competency_2074.docx,2074CB,competency_based,*CIP Code,Total,,0.0,no_confident_match
WPS_REVIEW_0067,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0068,WPS_3056CB_COMPETENCY_BASED_T02_R03_A,wps_competency_3056.docx,3056CB,competency_based,Record patient medical histories.,A. Record patients' medical information and vital signs.,QSEN_0188,0.3033,ambiguous_match
WPS_REVIEW_0068,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0069,WPS_3056CB_COMPETENCY_BASED_T02_R04_B,wps_competency_3056.docx,3056CB,competency_based,Record patient medical histories.,"B. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0069,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0070,WPS_3056CB_COMPETENCY_BASED_T03_R03_A,wps_competency_3056.docx,3056CB,competency_based,"Monitor patient conditions during treatments, procedures, or activities.",A. Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,0.1562,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0070,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0071,WPS_3056CB_COMPETENCY_BASED_T03_R04_B,wps_competency_3056.docx,3056CB,competency_based,"Monitor patient conditions during treatments, procedures, or activities.","B. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0071,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0072,WPS_3056CB_COMPETENCY_BASED_T04_R03_A,wps_competency_3056.docx,3056CB,competency_based,Administer non-intravenous medications.,A. Administer medications to patients and monitor patients for reactions or side effects.,QSEN_0192,0.1562,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0072,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0073,WPS_3056CB_COMPETENCY_BASED_T05_R03_A,wps_competency_3056.docx,3056CB,competency_based,Maintain medical facility records.,"A. Maintain accurate, detailed reports and records.",QSEN_0207,0.1252,no_confident_match
WPS_REVIEW_0073,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0074,WPS_3056CB_COMPETENCY_BASED_T06_R03_A,wps_competency_3056.docx,3056CB,competency_based,Inform medical professionals regarding patient conditions and care.,"A. Monitor, record, and report symptoms or changes in patients' conditions.",QSEN_0120,0.2613,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0074,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0075,WPS_3056CB_COMPETENCY_BASED_T06_R04_B,wps_competency_3056.docx,3056CB,competency_based,Inform medical professionals regarding patient conditions and care.,B. Inform physician of patient's condition during anesthesia.,,0.0,no_confident_match
WPS_REVIEW_0075,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0076,WPS_3056CB_COMPETENCY_BASED_T07_R03_A,wps_competency_3056.docx,3056CB,competency_based,Immunize patients.,"A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,0.1032,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0076,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0077,WPS_3056CB_COMPETENCY_BASED_T08_R03_A,wps_competency_3056.docx,3056CB,competency_based,"Treat acute illnesses, infections, or injuries.","A. Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.",QSEN_0198,0.1032,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0077,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0078,WPS_3056CB_COMPETENCY_BASED_T09_R03_A,wps_competency_3056.docx,3056CB,competency_based,Collaborate with healthcare professionals to plan or provide treatment.,"A. Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.",QSEN_0132,0.2419,no_confident_match
WPS_REVIEW_0078,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0079,WPS_3056CB_COMPETENCY_BASED_T10_R03_A,wps_competency_3056.docx,3056CB,competency_based,Supervise patient care personnel.,A. Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.,QSEN_0193,0.0822,no_confident_match
WPS_REVIEW_0079,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0080,WPS_3056CB_COMPETENCY_BASED_T11_R03_A,wps_competency_3056.docx,3056CB,competency_based,Monitor patient progress or responses to treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,0.2297,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0080,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0081,WPS_3056CB_COMPETENCY_BASED_T12_R03_A,wps_competency_3056.docx,3056CB,competency_based,Monitor patients following surgeries or other treatments.,"A. Monitor all aspects of patient care, including diet and physical activity.",QSEN_0148,0.2297,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0081,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0082,WPS_3056CB_COMPETENCY_BASED_T13_R03_A,wps_competency_3056.docx,3056CB,competency_based,Manage healthcare operations.,"A. Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.",QSEN_0160,0.0986,no_confident_match
WPS_REVIEW_0082,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0083,WPS_3056CB_COMPETENCY_BASED_T14_R03_A,wps_competency_3056.docx,3056CB,competency_based,Advise medical personnel regarding healthcare issues.,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",QSEN_0036,0.1129,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0083,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0084,WPS_3056CB_COMPETENCY_BASED_T15_R03_A,wps_competency_3056.docx,3056CB,competency_based,Analyze test data or images to inform diagnosis or treatment.,"A. Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",QSEN_0151,0.1317,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0084,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0085,WPS_3056CB_COMPETENCY_BASED_T16_R03_A,wps_competency_3056.docx,3056CB,competency_based,Direct healthcare delivery programs.,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.",QSEN_0036,0.1129,no_confident_match; duplicate_task_different_process
WPS_REVIEW_0085,suggested_wps_prelicensure_bridge,WPS_QSEN_BRIDGE_0086,WPS_3056CB_COMPETENCY_BASED_T17_R03_A,wps_competency_3056.docx,3056CB,competency_based,Order medical diagnostic or clinical tests.,"A. Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.",QSEN_0151,0.1317,no_confident_match; duplicate_task_different_process
