qsen_statement_id,source_workbook,source_sheet,source_row,qsen_domain_raw,qsen_domain_name,ksa_raw,qsen_statement_raw,qsen_statement_normalized,aacn_codes_raw,aacn_subcompetency_codes,aacn_subcompetency_count,malformed_aacn_code_count
QSEN_0018,Prelicensure Workbook.xlsx,Entry Level,23,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Initiate effective treatments to relieve pain and suffering in light of patient values, preferences and expressed needs",initiate effective treatments to relieve pain and suffering in light of patient values preferences and expressed needs,"G23: 2.1b; AR23: 9.5b, 9.5c",2.1b; 9.5b; 9.5c,3,0
QSEN_0019,Prelicensure Workbook.xlsx,Entry Level,24,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Remove [Eliminate] barriers to presence of families and other designated surrogates based on patient preferences**,remove eliminate barriers to presence of families and other designated surrogates based on patient preferences,"E24: 1.2c; H24: 2.2a; N24: 2.8d, 2.8e; AN24: 9.1f, 9.1g; AP24: 9.3a; AR24: 9.5b",1.2c; 2.2a; 2.8d; 2.8e; 9.1f; 9.1g; 9.3a; 9.5b,8,0
QSEN_0020,Prelicensure Workbook.xlsx,Entry Level,25,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Assess level of patient’s decisional conflict and provide access to resources**,assess level of patient s decisional conflict and provide access to resources,AN25: 9.1g,9.1g,1,0
QSEN_0021,Prelicensure Workbook.xlsx,Entry Level,26,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Engage patients or designated surrogates in active partnerships that promote health, safety and well-being, and self-care management**",engage patients or designated surrogates in active partnerships that promote health safety and well being and self care management,"G26: 2.1c; H26: 2.2a; N26: 2.8a, 2.8c, 2.8d, 2.8e; O26: 2.9a, 2.9c, 2.9e; AN26: 9.1g; AP26: 9.3a; AR26: 9.5b",2.1c; 2.2a; 2.8a; 2.8c; 2.8d; 2.8e; 2.9a; 2.9c; 2.9e; 9.1g; 9.3a; 9.5b,12,0
QSEN_0022,Prelicensure Workbook.xlsx,Entry Level,27,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Recognize [Respect] the boundaries of therapeutic relationships**,recognize respect the boundaries of therapeutic relationships,G27: 2.1c; H27: 2.2a; AB27: 6.1f; AN27: 9.1d; AO27: 9.2f,2.1c; 2.2a; 6.1f; 9.1d; 9.2f,5,0
QSEN_0023,Prelicensure Workbook.xlsx,Entry Level,28,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Facilitate informed patient consent for care**,facilitate informed patient consent for care,L28: 2.6a; O28: 2.9e; AB28: 6.1f; AN28: 9.1c,2.6a; 2.9e; 6.1f; 9.1c,4,0
QSEN_0024,Prelicensure Workbook.xlsx,Entry Level,29,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Assess [continously analyze and improve] own level of communication skill in encounters with patients and families [, and teams] **",assess continously analyze and improve own level of communication skill in encounters with patients and families and teams,H29: 2.2b; AB29: 6.1b; AE29: 6.4a,2.2b; 6.1b; 6.4a,3,0
QSEN_0025,Prelicensure Workbook.xlsx,Entry Level,30,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Participate in building consensus or resolving conflict in the context of patient care,participate in building consensus or resolving conflict in the context of patient care,"K30: 2.5a; O30: 2.9b, 2.9e; AB30: 6.1b; AE30: 6.4c; AN30: 9.1g",2.5a; 2.9b; 2.9e; 6.1b; 6.4c; 9.1g,6,0
QSEN_0026,Prelicensure Workbook.xlsx,Entry Level,31,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Communicate care provided and needed at each transition in care**,communicate care provided and needed at each transition in care,"H31: 2.2b; O31: 2.9a, 2.9b, 2.9e; AB31: 6.1b; AD31: 6.3c; AE31: 6.4d; AL31: 8.4b",2.2b; 2.9a; 2.9b; 2.9e; 6.1b; 6.3c; 6.4d; 8.4b,8,0
QSEN_0027,Prelicensure Workbook.xlsx,Entry Level,32,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Assess and treat pain and suffering in light of patient values, preferences, and expressed needs",assess and treat pain and suffering in light of patient values preferences and expressed needs,I32: 2.3c; K32: 2.5b,2.3c; 2.5b,2,0
QSEN_0028,Prelicensure Workbook.xlsx,Entry Level,33,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,Incorporate reflective practices into own repertoire,incorporate reflective practices into own repertoire,AU33: 10.2a,10.2a,1,0
QSEN_0029,Prelicensure Workbook.xlsx,Entry Level,34,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Skills,"Provide patient-centered care with sensitivity [,empathy,] and respect for the diversity of human experience**",provide patient centered care with sensitivity empathy and respect for the diversity of human experience,"G34: 2.1a, 2.1b; H34: 2.2a; N34: 2.8d; AO34: 9.2a, 9.2c, 9.2d, 9.2e; AP34: 9.3g; AR34: 9.5b; AS34: 9.6a",2.1a; 2.1b; 2.2a; 2.8d; 9.2a; 9.2c; 9.2d; 9.2e; 9.3g; 9.5b; 9.6a,11,0
QSEN_0030,Prelicensure Workbook.xlsx,Entry Level,35,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value seeing health care situations “through patients’ eyes” **,value seeing health care situations through patients eyes,"G35: 2.1a; K35: 2.5a, 2.5g; N35: 2.8d; Q35: 3.2c; AG35: 7.2b; AN35: 9.1d; AO35: 9.2a, 9.2c; AR35: 9.5c; AS35: 9.6b",2.1a; 2.5a; 2.5g; 2.8d; 3.2c; 7.2b; 9.1d; 9.2a; 9.2c; 9.5c; 9.6b,11,0
QSEN_0031,Prelicensure Workbook.xlsx,Entry Level,36,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,"Respect and encourage individual expression of patient values, preferences and expressed needs **",respect and encourage individual expression of patient values preferences and expressed needs,"E36: 1.2e; G36: 2.1c; I36: 2.3a; K36: 2.5a, 2.5g; N36: 2.8d; AN36: 9.1f; AO36: 9.2a; AR36: 9.5c",1.2e; 2.1c; 2.3a; 2.5a; 2.5g; 2.8d; 9.1f; 9.2a; 9.5c,9,0
QSEN_0032,Prelicensure Workbook.xlsx,Entry Level,37,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value the patient’s expertise with own health and symptoms **,value the patient s expertise with own health and symptoms,"G37: 2.1a; I37: 2.3a, 2.3c; K37: 2.5a, 2.5g; N37: 2.8d; AN37: 9.1f; AR37: 9.5c; AS37: 9.6b",2.1a; 2.3a; 2.3c; 2.5a; 2.5g; 2.8d; 9.1f; 9.5c; 9.6b,9,0
QSEN_0033,Prelicensure Workbook.xlsx,Entry Level,38,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Seek [Honor] learning opportunities with patients who represent all aspects of human diversity**,seek honor learning opportunities with patients who represent all aspects of human diversity,"H38: 2.2a, 2.2b; I38: 2.3f; AO38: 9.2d, 9.2e; AR38: 9.5b; AS38: 9.6b; AU38: 10.2c, 10.2f",2.2a; 2.2b; 2.3f; 9.2d; 9.2e; 9.5b; 9.6b; 10.2c; 10.2f,9,0
QSEN_0034,Prelicensure Workbook.xlsx,Entry Level,39,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,"Recognize [Seek to understand one's] personally held attitudes about working with patients from different ethnic, cultural and social backgrounds**",recognize seek to understand one s personally held attitudes about working with patients from different ethnic cultural and social backgrounds,"E39: 1.2d; H39: 2.2a, 2.2f; I39: 2.3f; AO39: 9.2d, 9.2e; AS39: 9.6a, 9.6b; AU39: 10.2f; AV39: 10.3g",1.2d; 2.2a; 2.2f; 2.3f; 9.2d; 9.2e; 9.6a; 9.6b; 10.2f; 10.3g,10,0
QSEN_0035,Prelicensure Workbook.xlsx,Entry Level,40,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Willingly support patient-centered care for individuals and groups whose values differ from own **,willingly support patient centered care for individuals and groups whose values differ from own,"G40: 2.1c; H40: 2.2b; K40: 2.5b; N40: 2.8d; AN40: 9.1d, 9.1f; AO40: 9.2d, 9.2e; AR40: 9.5c; AS40: 9.6b; AU40: 10.2f",2.1c; 2.2b; 2.5b; 2.8d; 9.1d; 9.1f; 9.2d; 9.2e; 9.5c; 9.6b; 10.2f,11,0
QSEN_0036,Prelicensure Workbook.xlsx,Entry Level,41,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Recognize personally held values and beliefs about the management of pain or suffering,recognize personally held values and beliefs about the management of pain or suffering,E41: 1.2d; AN41: 9.1d; AO41: 9.2e; AS41: 9.6b,1.2d; 9.1d; 9.2e; 9.6b,4,0
QSEN_0037,Prelicensure Workbook.xlsx,Entry Level,42,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Appreciate the role of the nurse in relief of all types and sources of pain or suffering,appreciate the role of the nurse in relief of all types and sources of pain or suffering,G42: 2.1b; AS42: 9.6b,2.1b; 9.6b,2,0
QSEN_0038,Prelicensure Workbook.xlsx,Entry Level,43,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Recognize that patient expectations influence outcomes in management of pain or suffering,recognize that patient expectations influence outcomes in management of pain or suffering,K43: 2.5g,2.5g,1,0
QSEN_0039,Prelicensure Workbook.xlsx,Entry Level,44,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,"Value [Honor] active partnership with patients or designated surrogates in planning, implementation, and evaluation of care**",value honor active partnership with patients or designated surrogates in planning implementation and evaluation of care,"G44: 2.1c; H44: 2.2a; K44: 2.5a, 2.5g; N44: 2.8e; O44: 2.9e",2.1c; 2.2a; 2.5a; 2.5g; 2.8e; 2.9e,6,0
QSEN_0040,Prelicensure Workbook.xlsx,Entry Level,45,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Respect patient preferences for degree of active engagement in care process**,respect patient preferences for degree of active engagement in care process,"E45: 1.2e; K45: 2.5b, 2.5g; N45: 2.8a, 2.8d, 2.8e; O45: 2.9a, 2.9c; AR45: 9.5b",1.2e; 2.5b; 2.5g; 2.8a; 2.8d; 2.8e; 2.9a; 2.9c; 9.5b,9,0
QSEN_0041,Prelicensure Workbook.xlsx,Entry Level,46,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Respect patient’s right to access to personal health records **,respect patient s right to access to personal health records,E46: 1.2c; G46: 2.1c; N46: 2.8e; AM46: 8.5d; AN46: 9.1f,1.2c; 2.1c; 2.8e; 8.5d; 9.1f,5,0
QSEN_0042,Prelicensure Workbook.xlsx,Entry Level,47,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,"Acknowledge the tension that may exist between patient rights and the organizational responsibility for professional, ethical care**",acknowledge the tension that may exist between patient rights and the organizational responsibility for professional ethical care,"H47: 2.2d; K47: 2.5g; O47: 2.9b; AB47: 6.1f; AN47: 9.1a, 9.1d",2.2d; 2.5g; 2.9b; 6.1f; 9.1a; 9.1d,6,0
QSEN_0043,Prelicensure Workbook.xlsx,Entry Level,48,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,"Appreciate [Value] shared decision making with empowered patients and families, even when conflicts occur**",appreciate value shared decision making with empowered patients and families even when conflicts occur,"G48: 2.1c; H48: 2.2a; K48: 2.5a, 2.5b; AB48: 6.1c",2.1c; 2.2a; 2.5a; 2.5b; 6.1c,5,0
QSEN_0044,Prelicensure Workbook.xlsx,Entry Level,49,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value continuous improvement of own communication and conflict resolution skills**,value continuous improvement of own communication and conflict resolution skills,"H49: 2.2b; O49: 2.9e; AB49: 6.1b; AE49: 6.4c; AP49: 9.3d, 9.3f",2.2b; 2.9e; 6.1b; 6.4c; 9.3d; 9.3f,6,0
QSEN_0045,Prelicensure Workbook.xlsx,Entry Level,50,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value cultural humility,value cultural humility,G50: 2.1c,2.1c,1,0
QSEN_0046,Prelicensure Workbook.xlsx,Entry Level,51,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value the process of reflective practice,value the process of reflective practice,AN51: 9.1b,9.1b,1,0
QSEN_0047,Prelicensure Workbook.xlsx,Entry Level,52,"Patient-Centered Care Definition: Recognize the patient or designee as the source of control and full partner in providing compassionate and coordinated care based on respect for patient’s preferences, values, and needs.",Patient-Centered Care Definition,Attitudes,Value consensus,value consensus,H52: 2.2a,2.2a,1,0
QSEN_0048,Prelicensure Workbook.xlsx,Entry Level,53,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,"Describe [Analyze] own strengths, limitations, and values in functioning as a member of a team**",describe analyze own strengths limitations and values in functioning as a member of a team,"O53: 2.9d; AC53: 6.2c, 6.2d, 6.2f; AE53: 6.4a; AP53: 9.3d",2.9d; 6.2c; 6.2d; 6.2f; 6.4a; 9.3d,6,0
QSEN_0049,Prelicensure Workbook.xlsx,Entry Level,54,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Describe scopes of practice and roles of health care team members**,describe scopes of practice and roles of health care team members,"D54: 1.1d; O54: 2.9c; AB54: 6.1a; AC54: 6.2a, 6.2b, 6.2c; AD54: 6.3a, 6.3b; AQ54: 9.4b",1.1d; 2.9c; 6.1a; 6.2a; 6.2b; 6.2c; 6.3a; 6.3b; 9.4b,9,0
QSEN_0050,Prelicensure Workbook.xlsx,Entry Level,55,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Describe strategies for identifying and managing overlaps in team member roles and accountabilities,describe strategies for identifying and managing overlaps in team member roles and accountabilities,"O55: 2.9c; AC55: 6.2a, 6.2b, 6.2c; AD55: 6.3a, 6.3b",2.9c; 6.2a; 6.2b; 6.2c; 6.3a; 6.3b,6,0
QSEN_0051,Prelicensure Workbook.xlsx,Entry Level,56,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Recognize contributions of other individuals and groups in helping patient/family achieve health goals,recognize contributions of other individuals and groups in helping patient family achieve health goals,O56: 2.9c; AB56: 6.1c; AC56: 6.2a; AD56: 6.3a; AE56: 6.4b,2.9c; 6.1c; 6.2a; 6.3a; 6.4b,5,0
QSEN_0052,Prelicensure Workbook.xlsx,Entry Level,57,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,"Analyze differences in communication style preferences among patients and families, nurses and other members of the health team**",analyze differences in communication style preferences among patients and families nurses and other members of the health team,AB57: 6.1b,6.1b,1,0
QSEN_0053,Prelicensure Workbook.xlsx,Entry Level,58,"Teamwork and Collaboration Definition: Function effectively within nursing and inter-professional teams, fostering open communication, mutual respect, and shared decision-making to achieve quality patient care.",Teamwork and Collaboration Definition,Knowledge,Describe impact of own communication style on others**,describe impact of own communication style on others,AB58: 6.1b; AE58: 6.4a; AP58: 9.3d,6.1b; 6.4a; 9.3d,3,0
