module_number,concept,recommended_action,task_count,bridge_count,review_count,confident_count,review_rate,dominant_review_reason,review_reason_counts,top_proposed_qsen_ids,source_anchor,review_decision,reviewer_notes
RN-WPS-011,Conduct research to increase knowledge about medical issues.,mapping_review_required,6,6,6,0,1.0,ambiguous_match,ambiguous_match=6,QSEN_0097=6,"WPS process: Conduct research to increase knowledge about medical issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T38:R3; wps_competency_3056.docx#T38:R3; wps_hybrid_2074.docx#T38:R2; wps_hybrid_3056.docx#T38:R2; wps_time_2074.docx#T38:R2; wps_time_3056.docx#T38:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-013,Diagnose medical conditions.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0027=6,"WPS process: Diagnose medical conditions.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T33:R3; wps_competency_3056.docx#T33:R3; wps_hybrid_2074.docx#T33:R2; wps_hybrid_3056.docx#T33:R2; wps_time_2074.docx#T33:R2; wps_time_3056.docx#T33:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-014,Direct healthcare delivery programs.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0036=6,"WPS process: Direct healthcare delivery programs.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T16:R3; wps_competency_3056.docx#T16:R3; wps_hybrid_2074.docx#T16:R2; wps_hybrid_3056.docx#T16:R2; wps_time_2074.docx#T16:R2; wps_time_3056.docx#T16:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-015,Evaluate patient outcomes to determine effectiveness of treatments.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0095=6,"WPS process: Evaluate patient outcomes to determine effectiveness of treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T22:R3; wps_competency_3056.docx#T22:R3; wps_hybrid_2074.docx#T22:R2; wps_hybrid_3056.docx#T22:R2; wps_time_2074.docx#T22:R2; wps_time_3056.docx#T22:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-016,Examine patients to assess general physical condition.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0027=6,"WPS process: Examine patients to assess general physical condition.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T34:R3; wps_competency_3056.docx#T34:R3; wps_hybrid_2074.docx#T34:R2; wps_hybrid_3056.docx#T34:R2; wps_time_2074.docx#T34:R2; wps_time_3056.docx#T34:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-017,Immunize patients.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0198=6,"WPS process: Immunize patients.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T7:R3; wps_competency_3056.docx#T7:R3; wps_hybrid_2074.docx#T7:R2; wps_hybrid_3056.docx#T7:R2; wps_time_2074.docx#T7:R2; wps_time_3056.docx#T7:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-018,Inform medical professionals regarding patient conditions and care.,mapping_review_required,12,12,12,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6; no_confident_match=6,QSEN_0120=6,"WPS process: Inform medical professionals regarding patient conditions and care.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T6:R3; wps_competency_2074.docx#T6:R4; wps_competency_3056.docx#T6:R3; wps_competency_3056.docx#T6:R4; wps_hybrid_2074.docx#T6:R2; wps_hybrid_2074.docx#T6:R3; wps_hybrid_3056.docx#T6:R2; wps_hybrid_3056.docx#T6:R3; wps_time_2074.docx#T6:R2; wps_time_2074.docx#T6:R3; wps_time_3056.docx#T6:R2; wps_time_3056.docx#T6:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-019,Maintain inventory of medical supplies or equipment.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0115=6,"WPS process: Maintain inventory of medical supplies or equipment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T23:R3; wps_competency_3056.docx#T23:R3; wps_hybrid_2074.docx#T23:R2; wps_hybrid_3056.docx#T23:R2; wps_time_2074.docx#T23:R2; wps_time_3056.docx#T23:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-020,Maintain medical facility records.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0207=6,"WPS process: Maintain medical facility records.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T5:R3; wps_competency_3056.docx#T5:R3; wps_hybrid_2074.docx#T5:R2; wps_hybrid_3056.docx#T5:R2; wps_time_2074.docx#T5:R2; wps_time_3056.docx#T5:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-021,Manage healthcare operations.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0160=6,"WPS process: Manage healthcare operations.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T13:R3; wps_competency_3056.docx#T13:R3; wps_hybrid_2074.docx#T13:R2; wps_hybrid_3056.docx#T13:R2; wps_time_2074.docx#T13:R2; wps_time_3056.docx#T13:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-022,Monitor health or behavior of people or animals.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,,"WPS process: Monitor health or behavior of people or animals.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T26:R3; wps_competency_3056.docx#T26:R3; wps_hybrid_2074.docx#T26:R2; wps_hybrid_3056.docx#T26:R2; wps_time_2074.docx#T26:R2; wps_time_3056.docx#T26:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-023,"Monitor patient conditions during treatments, procedures, or activities.",mapping_review_required,12,12,12,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=12,QSEN_0192=6; QSEN_0120=6,"WPS process: Monitor patient conditions during treatments, procedures, or activities.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T3:R3; wps_competency_2074.docx#T3:R4; wps_competency_3056.docx#T3:R3; wps_competency_3056.docx#T3:R4; wps_hybrid_2074.docx#T3:R2; wps_hybrid_2074.docx#T3:R3; wps_hybrid_3056.docx#T3:R2; wps_hybrid_3056.docx#T3:R3; wps_time_2074.docx#T3:R2; wps_time_2074.docx#T3:R3; wps_time_3056.docx#T3:R2; wps_time_3056.docx#T3:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-024,Monitor patient progress or responses to treatments.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0148=6,"WPS process: Monitor patient progress or responses to treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T11:R3; wps_competency_3056.docx#T11:R3; wps_hybrid_2074.docx#T11:R2; wps_hybrid_3056.docx#T11:R2; wps_time_2074.docx#T11:R2; wps_time_3056.docx#T11:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-025,Monitor patients following surgeries or other treatments.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0148=6,"WPS process: Monitor patients following surgeries or other treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T12:R3; wps_competency_3056.docx#T12:R3; wps_hybrid_2074.docx#T12:R2; wps_hybrid_3056.docx#T12:R2; wps_time_2074.docx#T12:R2; wps_time_3056.docx#T12:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-026,Order medical diagnostic or clinical tests.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0151=6,"WPS process: Order medical diagnostic or clinical tests.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T17:R3; wps_competency_3056.docx#T17:R3; wps_hybrid_2074.docx#T17:R2; wps_hybrid_3056.docx#T17:R2; wps_time_2074.docx#T17:R2; wps_time_3056.docx#T17:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-027,Prepare medical supplies or equipment for use.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0115=6,"WPS process: Prepare medical supplies or equipment for use.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T24:R3; wps_competency_3056.docx#T24:R3; wps_hybrid_2074.docx#T24:R2; wps_hybrid_3056.docx#T24:R2; wps_time_2074.docx#T24:R2; wps_time_3056.docx#T24:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-028,Prepare patients physically for medical procedures.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0018=6,"WPS process: Prepare patients physically for medical procedures.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T31:R3; wps_competency_3056.docx#T31:R3; wps_hybrid_2074.docx#T31:R2; wps_hybrid_3056.docx#T31:R2; wps_time_2074.docx#T31:R2; wps_time_3056.docx#T31:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-029,Prescribe assistive medical devices or related treatments.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0149=6,"WPS process: Prescribe assistive medical devices or related treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T18:R3; wps_competency_3056.docx#T18:R3; wps_hybrid_2074.docx#T18:R2; wps_hybrid_3056.docx#T18:R2; wps_time_2074.docx#T18:R2; wps_time_3056.docx#T18:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-030,Prescribe medications.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,QSEN_0149=6,"WPS process: Prescribe medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T19:R3; wps_competency_3056.docx#T19:R3; wps_hybrid_2074.docx#T19:R2; wps_hybrid_3056.docx#T19:R2; wps_time_2074.docx#T19:R2; wps_time_3056.docx#T19:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-031,Provider,mapping_review_required,24,24,24,0,1.0,no_confident_match,no_confident_match=24,QSEN_0101=6,"WPS process: Provider; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T39:R2; wps_competency_2074.docx#T39:R3; wps_competency_2074.docx#T39:R4; wps_competency_2074.docx#T39:R5; wps_competency_3056.docx#T39:R2; wps_competency_3056.docx#T39:R3; wps_competency_3056.docx#T39:R4; wps_competency_3056.docx#T39:R5; wps_hybrid_2074.docx#T39:R2; wps_hybrid_2074.docx#T39:R3; wps_hybrid_2074.docx#T39:R4; wps_hybrid_2074.docx#T39:R5; +12 more; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-032,Record patient medical histories.,mapping_review_required,12,12,12,0,1.0,ambiguous_match,ambiguous_match=6; no_confident_match; duplicate_task_different_process=6,QSEN_0188=6; QSEN_0120=6,"WPS process: Record patient medical histories.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T2:R3; wps_competency_2074.docx#T2:R4; wps_competency_3056.docx#T2:R3; wps_competency_3056.docx#T2:R4; wps_hybrid_2074.docx#T2:R2; wps_hybrid_2074.docx#T2:R3; wps_hybrid_3056.docx#T2:R2; wps_hybrid_3056.docx#T2:R3; wps_time_2074.docx#T2:R2; wps_time_2074.docx#T2:R3; wps_time_3056.docx#T2:R2; wps_time_3056.docx#T2:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-033,Refer patients to other healthcare practitioners or health resources.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0117=6,"WPS process: Refer patients to other healthcare practitioners or health resources.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T35:R3; wps_competency_3056.docx#T35:R3; wps_hybrid_2074.docx#T35:R2; wps_hybrid_3056.docx#T35:R2; wps_time_2074.docx#T35:R2; wps_time_3056.docx#T35:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-034,Supervise patient care personnel.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0193=6,"WPS process: Supervise patient care personnel.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T10:R3; wps_competency_3056.docx#T10:R3; wps_hybrid_2074.docx#T10:R2; wps_hybrid_3056.docx#T10:R2; wps_time_2074.docx#T10:R2; wps_time_3056.docx#T10:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-035,Supervise workers providing client or patient services.,mapping_review_required,6,6,6,0,1.0,no_confident_match; duplicate_task_different_process,no_confident_match; duplicate_task_different_process=6,,"WPS process: Supervise workers providing client or patient services.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T27:R3; wps_competency_3056.docx#T27:R3; wps_hybrid_2074.docx#T27:R2; wps_hybrid_3056.docx#T27:R2; wps_time_2074.docx#T27:R2; wps_time_3056.docx#T27:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
RN-WPS-036,Test biological specimens to gather information about patient conditions.,mapping_review_required,6,6,6,0,1.0,no_confident_match,no_confident_match=6,QSEN_0108=6,"WPS process: Test biological specimens to gather information about patient conditions.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T25:R3; wps_competency_3056.docx#T25:R3; wps_hybrid_2074.docx#T25:R2; wps_hybrid_3056.docx#T25:R2; wps_time_2074.docx#T25:R2; wps_time_3056.docx#T25:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",,
