module_number,concept,task_count,unique_task_count,review_count,source_anchor,ai_mapping_status,ai_top_qsen_statement_id,ai_top_aacn_subcompetency_codes,ai_confidence,ai_rationale,ai_alternate_qsen_statement_ids,ai_review_notes,ai_validation_errors,local_top_candidate_qsen_id,local_top_candidate_score,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-013,Diagnose medical conditions.,6,1,6,"WPS process: Diagnose medical conditions.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T33:R3; wps_competency_3056.docx#T33:R3; wps_hybrid_2074.docx#T33:R2; wps_hybrid_3056.docx#T33:R2; wps_time_2074.docx#T33:R2; wps_time_3056.docx#T33:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0016,0.0604,,,,
RN-WPS-014,Direct healthcare delivery programs.,6,1,6,"WPS process: Direct healthcare delivery programs.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T16:R3; wps_competency_3056.docx#T16:R3; wps_hybrid_2074.docx#T16:R2; wps_hybrid_3056.docx#T16:R2; wps_time_2074.docx#T16:R2; wps_time_3056.docx#T16:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0169,0.1229,,,,
RN-WPS-015,Evaluate patient outcomes to determine effectiveness of treatments.,6,1,6,"WPS process: Evaluate patient outcomes to determine effectiveness of treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T22:R3; wps_competency_3056.docx#T22:R3; wps_hybrid_2074.docx#T22:R2; wps_hybrid_3056.docx#T22:R2; wps_time_2074.docx#T22:R2; wps_time_3056.docx#T22:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0134,0.0799,,,,
RN-WPS-016,Examine patients to assess general physical condition.,6,1,6,"WPS process: Examine patients to assess general physical condition.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T34:R3; wps_competency_3056.docx#T34:R3; wps_hybrid_2074.docx#T34:R2; wps_hybrid_3056.docx#T34:R2; wps_time_2074.docx#T34:R2; wps_time_3056.docx#T34:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0016,0.1186,,,,
RN-WPS-017,Immunize patients.,6,1,6,"WPS process: Immunize patients.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T7:R3; wps_competency_3056.docx#T7:R3; wps_hybrid_2074.docx#T7:R2; wps_hybrid_3056.docx#T7:R2; wps_time_2074.docx#T7:R2; wps_time_3056.docx#T7:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0032,0.1309,,,,
RN-WPS-018,Inform medical professionals regarding patient conditions and care.,12,2,12,"WPS process: Inform medical professionals regarding patient conditions and care.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T6:R3; wps_competency_2074.docx#T6:R4; wps_competency_3056.docx#T6:R3; wps_competency_3056.docx#T6:R4; wps_hybrid_2074.docx#T6:R2; wps_hybrid_2074.docx#T6:R3; wps_hybrid_3056.docx#T6:R2; wps_hybrid_3056.docx#T6:R3; wps_time_2074.docx#T6:R2; wps_time_2074.docx#T6:R3; wps_time_3056.docx#T6:R2; wps_time_3056.docx#T6:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0032,0.1309,,,,
RN-WPS-019,Maintain inventory of medical supplies or equipment.,6,1,6,"WPS process: Maintain inventory of medical supplies or equipment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T23:R3; wps_competency_3056.docx#T23:R3; wps_hybrid_2074.docx#T23:R2; wps_hybrid_3056.docx#T23:R2; wps_time_2074.docx#T23:R2; wps_time_3056.docx#T23:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0074,0.0685,,,,
RN-WPS-020,Maintain medical facility records.,6,1,6,"WPS process: Maintain medical facility records.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T5:R3; wps_competency_3056.docx#T5:R3; wps_hybrid_2074.docx#T5:R2; wps_hybrid_3056.docx#T5:R2; wps_time_2074.docx#T5:R2; wps_time_3056.docx#T5:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0207,0.1143,,,,
RN-WPS-021,Manage healthcare operations.,6,1,6,"WPS process: Manage healthcare operations.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T13:R3; wps_competency_3056.docx#T13:R3; wps_hybrid_2074.docx#T13:R2; wps_hybrid_3056.docx#T13:R2; wps_time_2074.docx#T13:R2; wps_time_3056.docx#T13:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0160,0.1067,,,,
RN-WPS-022,Monitor health or behavior of people or animals.,6,1,6,"WPS process: Monitor health or behavior of people or animals.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T26:R3; wps_competency_3056.docx#T26:R3; wps_hybrid_2074.docx#T26:R2; wps_hybrid_3056.docx#T26:R2; wps_time_2074.docx#T26:R2; wps_time_3056.docx#T26:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0117,0.1904,,,,
RN-WPS-023,"Monitor patient conditions during treatments, procedures, or activities.",12,2,12,"WPS process: Monitor patient conditions during treatments, procedures, or activities.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T3:R3; wps_competency_2074.docx#T3:R4; wps_competency_3056.docx#T3:R3; wps_competency_3056.docx#T3:R4; wps_hybrid_2074.docx#T3:R2; wps_hybrid_2074.docx#T3:R3; wps_hybrid_3056.docx#T3:R2; wps_hybrid_3056.docx#T3:R3; wps_time_2074.docx#T3:R2; wps_time_2074.docx#T3:R3; wps_time_3056.docx#T3:R2; wps_time_3056.docx#T3:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0188,0.0676,,,,
RN-WPS-024,Monitor patient progress or responses to treatments.,6,1,6,"WPS process: Monitor patient progress or responses to treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T11:R3; wps_competency_3056.docx#T11:R3; wps_hybrid_2074.docx#T11:R2; wps_hybrid_3056.docx#T11:R2; wps_time_2074.docx#T11:R2; wps_time_3056.docx#T11:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0006,0.2318,,,,
RN-WPS-025,Monitor patients following surgeries or other treatments.,6,1,6,"WPS process: Monitor patients following surgeries or other treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T12:R3; wps_competency_3056.docx#T12:R3; wps_hybrid_2074.docx#T12:R2; wps_hybrid_3056.docx#T12:R2; wps_time_2074.docx#T12:R2; wps_time_3056.docx#T12:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0006,0.2318,,,,
RN-WPS-026,Order medical diagnostic or clinical tests.,6,1,6,"WPS process: Order medical diagnostic or clinical tests.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T17:R3; wps_competency_3056.docx#T17:R3; wps_hybrid_2074.docx#T17:R2; wps_hybrid_3056.docx#T17:R2; wps_time_2074.docx#T17:R2; wps_time_3056.docx#T17:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0015,0.0856,,,,
RN-WPS-027,Prepare medical supplies or equipment for use.,6,1,6,"WPS process: Prepare medical supplies or equipment for use.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T24:R3; wps_competency_3056.docx#T24:R3; wps_hybrid_2074.docx#T24:R2; wps_hybrid_3056.docx#T24:R2; wps_time_2074.docx#T24:R2; wps_time_3056.docx#T24:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0158,0.1409,,,,
RN-WPS-028,Prepare patients physically for medical procedures.,6,1,6,"WPS process: Prepare patients physically for medical procedures.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T31:R3; wps_competency_3056.docx#T31:R3; wps_hybrid_2074.docx#T31:R2; wps_hybrid_3056.docx#T31:R2; wps_time_2074.docx#T31:R2; wps_time_3056.docx#T31:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0018,0.0905,,,,
RN-WPS-029,Prescribe assistive medical devices or related treatments.,6,1,6,"WPS process: Prescribe assistive medical devices or related treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T18:R3; wps_competency_3056.docx#T18:R3; wps_hybrid_2074.docx#T18:R2; wps_hybrid_3056.docx#T18:R2; wps_time_2074.docx#T18:R2; wps_time_3056.docx#T18:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0012,0.0622,,,,
RN-WPS-030,Prescribe medications.,6,1,6,"WPS process: Prescribe medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T19:R3; wps_competency_3056.docx#T19:R3; wps_hybrid_2074.docx#T19:R2; wps_hybrid_3056.docx#T19:R2; wps_time_2074.docx#T19:R2; wps_time_3056.docx#T19:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0012,0.0655,,,,
RN-WPS-032,Record patient medical histories.,12,2,12,"WPS process: Record patient medical histories.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T2:R3; wps_competency_2074.docx#T2:R4; wps_competency_3056.docx#T2:R3; wps_competency_3056.docx#T2:R4; wps_hybrid_2074.docx#T2:R2; wps_hybrid_2074.docx#T2:R3; wps_hybrid_3056.docx#T2:R2; wps_hybrid_3056.docx#T2:R3; wps_time_2074.docx#T2:R2; wps_time_2074.docx#T2:R3; wps_time_3056.docx#T2:R2; wps_time_3056.docx#T2:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0192,0.1545,,,,
RN-WPS-033,Refer patients to other healthcare practitioners or health resources.,6,1,6,"WPS process: Refer patients to other healthcare practitioners or health resources.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T35:R3; wps_competency_3056.docx#T35:R3; wps_hybrid_2074.docx#T35:R2; wps_hybrid_3056.docx#T35:R2; wps_time_2074.docx#T35:R2; wps_time_3056.docx#T35:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0117,0.1315,,,,
RN-WPS-034,Supervise patient care personnel.,6,1,6,"WPS process: Supervise patient care personnel.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T10:R3; wps_competency_3056.docx#T10:R3; wps_hybrid_2074.docx#T10:R2; wps_hybrid_3056.docx#T10:R2; wps_time_2074.docx#T10:R2; wps_time_3056.docx#T10:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0010,0.1653,,,,
RN-WPS-035,Supervise workers providing client or patient services.,6,1,6,"WPS process: Supervise workers providing client or patient services.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T27:R3; wps_competency_3056.docx#T27:R3; wps_hybrid_2074.docx#T27:R2; wps_hybrid_3056.docx#T27:R2; wps_time_2074.docx#T27:R2; wps_time_3056.docx#T27:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0086,0.1553,,,,
RN-WPS-036,Test biological specimens to gather information about patient conditions.,6,1,6,"WPS process: Test biological specimens to gather information about patient conditions.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T25:R3; wps_competency_3056.docx#T25:R3; wps_hybrid_2074.docx#T25:R2; wps_hybrid_3056.docx#T25:R2; wps_time_2074.docx#T25:R2; wps_time_3056.docx#T25:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",credential_pending,,,low,OpenAI API key not available; AI suggestion not generated.,,Run again with --require-ai after secure OPENAI_API_KEY setup.,,QSEN_0127,0.1598,,,,
