module_number,concept,task_count,review_count,ai_mapping_status,ai_confidence,ai_top_qsen_statement_id,ai_top_qsen_statement_text,ai_top_qsen_domain,ai_top_qsen_ksa,ai_top_aacn_subcompetency_codes,ai_alternate_qsen_statement_ids,ai_rationale,ai_review_notes,ai_validation_errors,local_top_candidate_qsen_id,local_top_candidate_score,candidate_filler_count,review_decision,reviewer_notes,final_qsen_statement_id,final_aacn_subcompetency_codes
RN-WPS-013,Diagnose medical conditions.,6,6,not_mappable,low,,,,,,,"Diagnostic reasoning has no counterpart among QSEN's six competency domains, which are deliberately cross-cutting rather than clinical.",Route to AACN Domain 2 and the NCJMM clinical judgment layer instead of the QSEN crosswalk. Shares source task text with RN-WPS-016 and RN-WPS-039.,,QSEN_0016,0.0604,4,,,,
RN-WPS-014,Direct healthcare delivery programs.,6,6,not_mappable,low,,,,,,,Directing a healthcare delivery program is a management and systems activity with no QSEN competency counterpart.,Route to AACN Domain 7 (Systems-Based Practice) and Domain 10. Shares source task text with RN-WPS-005.,,QSEN_0169,0.1229,1,,,,
RN-WPS-015,Evaluate patient outcomes to determine effectiveness of treatments.,6,6,draft_mapping,low,QSEN_0134,Use measures to evaluate the effect of change**,Quality Improvement Definition,Skills,4.2e; 5.1d; 5.1g; 5.1h; 7.3c,QSEN_0136; QSEN_0095; QSEN_0126,"Modifying treatment plans based on patient response requires measuring the effect of a change, which is what this statement names.",LEVEL MISMATCH. The QSEN statement is written at the system or quality-improvement level while the WPS task is patient-level. Reviewer should confirm this is acceptable.,,QSEN_0134,0.0799,0,,,,
RN-WPS-016,Examine patients to assess general physical condition.,6,6,draft_mapping,low,QSEN_0016,Assess levels of physical and emotional comfort,Patient-Centered Care Definition,Skills,2.1b; 2.3c; 2.7a,QSEN_0027; QSEN_0015,"Examining a patient to assess general physical condition overlaps with assessing levels of physical comfort, the only physical-assessment statement available.",Partial fit. General physical assessment is a clinical skill outside QSEN's scope. Shares source task text with RN-WPS-013 and RN-WPS-039.,,QSEN_0016,0.1186,0,,,,
RN-WPS-017,Immunize patients.,6,6,not_mappable,low,,,,,,,Immunization is a clinical and population-health intervention with no QSEN competency counterpart; the supplied candidates are patient-centered-care attitudes matched on incidental tokens.,Route to AACN Domain 3 (Population Health). Shares source task text with RN-WPS-038.,,QSEN_0032,0.1309,0,,,,
RN-WPS-018,Inform medical professionals regarding patient conditions and care.,12,12,draft_mapping,low,QSEN_0189,Document and plan patient care in an electronic health record,Informatics Definition,Skills,8.1c,QSEN_0198; QSEN_0192,"Monitoring, recording and reporting changes in patient condition is documentation of patient care in the health record, the action this statement names.",CANDIDATE SET GAP. QSEN_0161 (communicate observations or concerns to the health care team) is the better fit for the reporting half of this task and was not supplied as a candidate.,,QSEN_0032,0.1309,0,,,,
RN-WPS-019,Maintain inventory of medical supplies or equipment.,6,6,not_mappable,low,,,,,,,Supply and equipment inventory management has no QSEN competency counterpart; the highest candidate scored 0.07 on incidental tokens.,Route to AACN Domain 7 (resource stewardship). Shares source task text with RN-WPS-027.,,QSEN_0074,0.0685,0,,,,
RN-WPS-020,Maintain medical facility records.,6,6,draft_mapping,low,QSEN_0207,Value the confidentiality and security of all patient records,Informatics Definition,Attitudes,8.5c,QSEN_0041; QSEN_0202,"Maintaining accurate, detailed records is governed by the confidentiality and security of patient records, the only records-focused statement in the candidate set.",CANDIDATE SET GAP. This is an attitude statement matched to a skill task. QSEN_0188 and QSEN_0189 (navigate and document in the EHR) are the correct family and are absent; six of twelve candidates are 0.00 filler.,,QSEN_0207,0.1143,6,,,,
RN-WPS-021,Manage healthcare operations.,6,6,not_mappable,low,,,,,,,"Unit staffing, budget, planning and long-range goals are administrative functions with no QSEN competency counterpart.",Route to AACN Domains 7 and 10.,,QSEN_0160,0.1067,0,,,,
RN-WPS-022,Monitor health or behavior of people or animals.,6,6,draft_mapping,low,QSEN_0192,Use information management tools to monitor outcomes of care processes,Informatics Definition,Skills,7.3b; 8.3d,QSEN_0010; QSEN_0117,"Observing nurses and visiting patients to ensure proper nursing care is monitoring the outcomes of care processes, which this statement names.","LABEL QUALITY. The WPS concept label 'Monitor health or behavior of people or animals' is a generic O*NET work-activity label mismatched to the nursing task text; map from the task, not the label. Shares source task text with RN-WPS-035.",,QSEN_0117,0.1904,0,,,,
RN-WPS-023,"Monitor patient conditions during treatments, procedures, or activities.",12,12,draft_mapping,low,QSEN_0175,"Value vigilance and monitoring (even of own performance of care activities) by patients, families, and other members of the health care team**",Safety Definition,Attitudes,5.1a; 5.2b,QSEN_0192; QSEN_0189,Monitoring patients for reactions and reporting changes during treatment is the vigilance and monitoring this attitude statement values.,Attitude statement matched to a skill task; reviewer should decide whether a KSA-level mismatch is acceptable or whether this should be held for candidate regeneration.,,QSEN_0188,0.0676,0,,,,
RN-WPS-024,Monitor patient progress or responses to treatments.,6,6,draft_mapping,low,QSEN_0016,Assess levels of physical and emotional comfort,Patient-Centered Care Definition,Skills,2.1b; 2.3c; 2.7a,QSEN_0192; QSEN_0018,Monitoring patient progress and response to treatment includes ongoing assessment of physical and emotional comfort.,"FALSE POSITIVE WARNING. The top lexical candidate (QSEN_0006, score 0.23) matched only on the phrase 'all aspects' and should not be selected. Shares source task text with RN-WPS-025.",,QSEN_0006,0.2318,0,,,,
RN-WPS-025,Monitor patients following surgeries or other treatments.,6,6,draft_mapping,low,QSEN_0016,Assess levels of physical and emotional comfort,Patient-Centered Care Definition,Skills,2.1b; 2.3c; 2.7a,QSEN_0192; QSEN_0018,Post-operative monitoring is ongoing assessment of physical and emotional comfort and response to treatment.,Identical candidate set and source task to RN-WPS-024; the same false positive on 'all aspects' applies. Resolve both rows together.,,QSEN_0006,0.2318,0,,,,
RN-WPS-026,Order medical diagnostic or clinical tests.,6,6,draft_mapping,low,QSEN_0091,Explain the role of evidence in determining best clinical practice,Evidence-Based Practice Definition,Knowledge,1.2a; 2.5c; 2.5f; 4.1b; 5.1c; 5.1f; 7.3a,QSEN_0089; QSEN_0191,Deciding which diagnostic tests to order is an application of evidence to determine best clinical practice.,Contextual mapping only; test ordering is outside QSEN scope and may exceed RN scope of practice. Shares source task text with RN-WPS-006.,,QSEN_0015,0.0856,0,,,,
RN-WPS-027,Prepare medical supplies or equipment for use.,6,6,draft_mapping,low,QSEN_0158,Demonstrate effective use of technology and standardized practices that support safety and quality,Safety Definition,Skills,3.6d; 3.6e; 5.1c; 8.3a,QSEN_0166; QSEN_0162,"Preparing sterile instruments, equipment and supplies is the use of standardized practices that support safety and quality.","Reasonable fit on the standardization framing. Shares source task text with RN-WPS-019, which is not mappable; the two rows should be resolved consistently.",,QSEN_0158,0.1409,0,,,,
RN-WPS-028,Prepare patients physically for medical procedures.,6,6,insufficient_evidence,low,,,,,,,Eleven of twelve candidates scored 0.00 and are sequential filler; none address physical preparation of a patient for a procedure.,CANDIDATE SET GAP. Regenerate candidates. Shares source task text with RN-WPS-008.,,QSEN_0018,0.0905,11,,,,
RN-WPS-029,Prescribe assistive medical devices or related treatments.,6,6,not_mappable,low,,,,,,,Prescribing devices or therapies has no QSEN competency counterpart.,SCOPE MISMATCH. Prescribing is an advanced-practice activity; this row derives from an O*NET registered-nurse profile that blends RN and APRN tasks. Flag for exclusion from a prelicensure crosswalk. Shares source task text with RN-WPS-030.,,QSEN_0012,0.0622,0,,,,
RN-WPS-030,Prescribe medications.,6,6,not_mappable,low,,,,,,,Prescribing medications has no QSEN competency counterpart.,SCOPE MISMATCH. Same advanced-practice issue as RN-WPS-029; both are candidates for the source-exclusion list rather than the review queue.,,QSEN_0012,0.0655,0,,,,
RN-WPS-032,Record patient medical histories.,12,12,draft_mapping,medium,QSEN_0189,Document and plan patient care in an electronic health record,Informatics Definition,Skills,8.1c,QSEN_0188; QSEN_0192,Recording patient medical information and vital signs is documenting patient care in the electronic health record.,Clean informatics mapping. One of the few rows where the candidate set contained the right statement.,,QSEN_0192,0.1545,0,,,,
RN-WPS-033,Refer patients to other healthcare practitioners or health resources.,6,6,draft_mapping,medium,QSEN_0020,Assess level of patient’s decisional conflict and provide access to resources**,Patient-Centered Care Definition,Skills,9.1g,QSEN_0078; QSEN_0006,"Referring patients to specialized health resources or community agencies is providing access to resources, which this statement names explicitly.",Good fit on the resource-access half of the statement; the decisional-conflict half is not exercised by this task.,,QSEN_0117,0.1315,0,,,,
RN-WPS-034,Supervise patient care personnel.,6,6,draft_mapping,low,QSEN_0010,"Examine nursing roles in assuring coordination, integration, and continuity of care",Patient-Centered Care Definition,Knowledge,2.9e; 6.1a; 6.2a; 6.2c; 6.3a; 6.3b; 6.3c; 7.1d,QSEN_0196; QSEN_0117,"Supervising less-skilled personnel and a care unit is an exercise of the nursing role in assuring coordination, integration and continuity of care.","CANDIDATE SET GAP. Delegation and supervision belong to the scopes-of-practice family (QSEN_0049, QSEN_0062, QSEN_0065), none of which were supplied as candidates.",,QSEN_0010,0.1653,0,,,,
RN-WPS-035,Supervise workers providing client or patient services.,6,6,draft_mapping,low,QSEN_0010,"Examine nursing roles in assuring coordination, integration, and continuity of care",Patient-Centered Care Definition,Knowledge,2.9e; 6.1a; 6.2a; 6.2c; 6.3a; 6.3b; 6.3c; 7.1d,QSEN_0086; QSEN_0196,Overseeing workers who provide patient services exercises the nursing role in coordination and continuity of care.,Shares source task text with RN-WPS-022 but received a different candidate set; resolve the two rows together and expect the same decision.,,QSEN_0086,0.1553,0,,,,
RN-WPS-036,Test biological specimens to gather information about patient conditions.,6,6,not_mappable,low,,,,,,,Conducting laboratory tests has no QSEN competency counterpart.,LEXICAL ARTIFACT. The entire candidate set matched on the token 'information' and on 'tests' via quality-improvement statements. None are topically related.,,QSEN_0127,0.1598,0,,,,
RN-WPS-037,Train caregivers or other non-medical personnel.,6,6,insufficient_evidence,low,,,,,,,"Eight of twelve candidates scored 0.00 and are sequential filler; the highest real candidate scored 0.06 and concerns students as parts of systems of care, not instruction.",CANDIDATE SET GAP. Teaching and precepting map to AACN Domains 6 and 10. Regenerate candidates before review.,,QSEN_0020,0.0749,8,,,,
RN-WPS-038,"Treat acute illnesses, infections, or injuries.",6,6,draft_mapping,low,QSEN_0029,"Provide patient-centered care with sensitivity [,empathy,] and respect for the diversity of human experience**",Patient-Centered Care Definition,Skills,2.1a; 2.1b; 2.2a; 2.8d; 9.2a; 9.2c; 9.2d; 9.2e; 9.3g; 9.5b; 9.6a,QSEN_0027; QSEN_0032,"Providing health care, first aid and rehabilitation assistance is the delivery of patient-centered care; this is the generic care-delivery skill statement available.",Very broad mapping. Reviewer may prefer to hold this row pending candidate regeneration. Shares source task text with RN-WPS-017.,,QSEN_0032,0.1085,0,,,,
RN-WPS-039,Treat medical emergencies.,6,6,not_mappable,low,,,,,,,Emergency treatment and field triage have no QSEN competency counterpart; five of twelve candidates scored 0.00.,Route to AACN Domain 2 and the NCJMM clinical judgment layer. Shares source task text with RN-WPS-013 and RN-WPS-016.,,QSEN_0016,0.0635,5,,,,
