concept,exemplars,subject_area,content_area,specialty_area,nclex_category,ncjmm_primary,priority_framework,source_anchor,evidence_status,needs_review,module_number
Conduct research to increase knowledge about medical issues.,Engage in research activities related to nursing.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Conduct research to increase knowledge about medical issues.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T38:R3; wps_competency_3056.docx#T38:R3; wps_hybrid_2074.docx#T38:R2; wps_hybrid_3056.docx#T38:R2; wps_time_2074.docx#T38:R2; wps_time_3056.docx#T38:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-011
Design public or employee health programs.,"Instruct individuals - families - or other groups on topics such as health education - disease prevention - or childbirth and develop health improvement programs., Work with individuals - groups - or families to plan or implement programs designed to improve the overall health of communities.",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Design public or employee health programs.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T20:R3; wps_competency_2074.docx#T20:R4; wps_competency_3056.docx#T20:R3; wps_competency_3056.docx#T20:R4; wps_hybrid_2074.docx#T20:R2; wps_hybrid_2074.docx#T20:R3; wps_hybrid_3056.docx#T20:R2; wps_hybrid_3056.docx#T20:R3; wps_time_2074.docx#T20:R2; wps_time_2074.docx#T20:R3; wps_time_3056.docx#T20:R2; wps_time_3056.docx#T20:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,false,RN-WPS-012
Diagnose medical conditions.,Perform physical examinations - make tentative diagnoses - and treat patients en route to hospitals or at disaster site triage centers.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Diagnose medical conditions.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T33:R3; wps_competency_3056.docx#T33:R3; wps_hybrid_2074.docx#T33:R2; wps_hybrid_3056.docx#T33:R2; wps_time_2074.docx#T33:R2; wps_time_3056.docx#T33:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-013
Direct healthcare delivery programs.,Direct or coordinate infection control programs - advising or consulting with specified personnel about necessary precautions.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Direct healthcare delivery programs.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T16:R3; wps_competency_3056.docx#T16:R3; wps_hybrid_2074.docx#T16:R2; wps_hybrid_3056.docx#T16:R2; wps_time_2074.docx#T16:R2; wps_time_3056.docx#T16:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-014
Evaluate patient outcomes to determine effectiveness of treatments.,Modify patient treatment plans as indicated by patients' responses and conditions.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Evaluate patient outcomes to determine effectiveness of treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T22:R3; wps_competency_3056.docx#T22:R3; wps_hybrid_2074.docx#T22:R2; wps_hybrid_3056.docx#T22:R2; wps_time_2074.docx#T22:R2; wps_time_3056.docx#T22:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-015
Examine patients to assess general physical condition.,Perform physical examinations - make tentative diagnoses - and treat patients en route to hospitals or at disaster site triage centers.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Examine patients to assess general physical condition.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T34:R3; wps_competency_3056.docx#T34:R3; wps_hybrid_2074.docx#T34:R2; wps_hybrid_3056.docx#T34:R2; wps_time_2074.docx#T34:R2; wps_time_3056.docx#T34:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-016
Immunize patients.,Provide health care - first aid - immunizations - or assistance in convalescence or rehabilitation in locations such as schools - hospitals - or industry.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Immunize patients.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T7:R3; wps_competency_3056.docx#T7:R3; wps_hybrid_2074.docx#T7:R2; wps_hybrid_3056.docx#T7:R2; wps_time_2074.docx#T7:R2; wps_time_3056.docx#T7:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-017
Inform medical professionals regarding patient conditions and care.,"Monitor - record - and report symptoms or changes in patients' conditions., Inform physician of patient's condition during anesthesia.",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Inform medical professionals regarding patient conditions and care.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T6:R3; wps_competency_2074.docx#T6:R4; wps_competency_3056.docx#T6:R3; wps_competency_3056.docx#T6:R4; wps_hybrid_2074.docx#T6:R2; wps_hybrid_2074.docx#T6:R3; wps_hybrid_3056.docx#T6:R2; wps_hybrid_3056.docx#T6:R3; wps_time_2074.docx#T6:R2; wps_time_2074.docx#T6:R3; wps_time_3056.docx#T6:R2; wps_time_3056.docx#T6:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-018
Maintain inventory of medical supplies or equipment.,Prepare rooms - sterile instruments - equipment - or supplies and ensure that stock of supplies is maintained.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Maintain inventory of medical supplies or equipment.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T23:R3; wps_competency_3056.docx#T23:R3; wps_hybrid_2074.docx#T23:R2; wps_hybrid_3056.docx#T23:R2; wps_time_2074.docx#T23:R2; wps_time_3056.docx#T23:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-019
Maintain medical facility records.,Maintain accurate - detailed reports and records.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Maintain medical facility records.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T5:R3; wps_competency_3056.docx#T5:R3; wps_hybrid_2074.docx#T5:R2; wps_hybrid_3056.docx#T5:R2; wps_time_2074.docx#T5:R2; wps_time_3056.docx#T5:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-020
Manage healthcare operations.,Perform administrative or managerial functions - such as taking responsibility for a unit's staff - budget - planning - or long-range goals.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Manage healthcare operations.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T13:R3; wps_competency_3056.docx#T13:R3; wps_hybrid_2074.docx#T13:R2; wps_hybrid_3056.docx#T13:R2; wps_time_2074.docx#T13:R2; wps_time_3056.docx#T13:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-021
Monitor health or behavior of people or animals.,Observe nurses and visit patients to ensure proper nursing care.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Monitor health or behavior of people or animals.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T26:R3; wps_competency_3056.docx#T26:R3; wps_hybrid_2074.docx#T26:R2; wps_hybrid_3056.docx#T26:R2; wps_time_2074.docx#T26:R2; wps_time_3056.docx#T26:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-022
"Monitor patient conditions during treatments, procedures, or activities.","Administer medications to patients and monitor patients for reactions or side effects., Monitor - record - and report symptoms or changes in patients' conditions.",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Monitor patient conditions during treatments, procedures, or activities.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T3:R3; wps_competency_2074.docx#T3:R4; wps_competency_3056.docx#T3:R3; wps_competency_3056.docx#T3:R4; wps_hybrid_2074.docx#T3:R2; wps_hybrid_2074.docx#T3:R3; wps_hybrid_3056.docx#T3:R2; wps_hybrid_3056.docx#T3:R3; wps_time_2074.docx#T3:R2; wps_time_2074.docx#T3:R3; wps_time_3056.docx#T3:R2; wps_time_3056.docx#T3:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-023
Monitor patient progress or responses to treatments.,Monitor all aspects of patient care - including diet and physical activity.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Monitor patient progress or responses to treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T11:R3; wps_competency_3056.docx#T11:R3; wps_hybrid_2074.docx#T11:R2; wps_hybrid_3056.docx#T11:R2; wps_time_2074.docx#T11:R2; wps_time_3056.docx#T11:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-024
Monitor patients following surgeries or other treatments.,Monitor all aspects of patient care - including diet and physical activity.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Monitor patients following surgeries or other treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T12:R3; wps_competency_3056.docx#T12:R3; wps_hybrid_2074.docx#T12:R2; wps_hybrid_3056.docx#T12:R2; wps_time_2074.docx#T12:R2; wps_time_3056.docx#T12:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-025
Order medical diagnostic or clinical tests.,Order - interpret - and evaluate diagnostic tests to identify and assess patient's condition.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Order medical diagnostic or clinical tests.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T17:R3; wps_competency_3056.docx#T17:R3; wps_hybrid_2074.docx#T17:R2; wps_hybrid_3056.docx#T17:R2; wps_time_2074.docx#T17:R2; wps_time_3056.docx#T17:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-026
Prepare medical supplies or equipment for use.,Prepare rooms - sterile instruments - equipment - or supplies and ensure that stock of supplies is maintained.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Prepare medical supplies or equipment for use.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T24:R3; wps_competency_3056.docx#T24:R3; wps_hybrid_2074.docx#T24:R2; wps_hybrid_3056.docx#T24:R2; wps_time_2074.docx#T24:R2; wps_time_3056.docx#T24:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-027
Prepare patients physically for medical procedures.,Prepare patients for and assist with examinations or treatments.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Prepare patients physically for medical procedures.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T31:R3; wps_competency_3056.docx#T31:R3; wps_hybrid_2074.docx#T31:R2; wps_hybrid_3056.docx#T31:R2; wps_time_2074.docx#T31:R2; wps_time_3056.docx#T31:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-028
Prescribe assistive medical devices or related treatments.,Prescribe or recommend drugs - medical devices - or other forms of treatment - such as physical therapy - inhalation therapy - or related therapeutic procedures.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Prescribe assistive medical devices or related treatments.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T18:R3; wps_competency_3056.docx#T18:R3; wps_hybrid_2074.docx#T18:R2; wps_hybrid_3056.docx#T18:R2; wps_time_2074.docx#T18:R2; wps_time_3056.docx#T18:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-029
Prescribe medications.,Prescribe or recommend drugs - medical devices - or other forms of treatment - such as physical therapy - inhalation therapy - or related therapeutic procedures.,Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Prescribe medications.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T19:R3; wps_competency_3056.docx#T19:R3; wps_hybrid_2074.docx#T19:R2; wps_hybrid_3056.docx#T19:R2; wps_time_2074.docx#T19:R2; wps_time_3056.docx#T19:R2; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-030
Provider,"Name:, Address:, Email:, Suggested Related Instruction Hours: X, Suggested Related Instruction Hours: XXX",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Provider; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T39:R2; wps_competency_2074.docx#T39:R3; wps_competency_2074.docx#T39:R4; wps_competency_2074.docx#T39:R5; wps_competency_3056.docx#T39:R2; wps_competency_3056.docx#T39:R3; wps_competency_3056.docx#T39:R4; wps_competency_3056.docx#T39:R5; wps_hybrid_2074.docx#T39:R2; wps_hybrid_2074.docx#T39:R3; wps_hybrid_2074.docx#T39:R4; wps_hybrid_2074.docx#T39:R5; +12 more; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-031
Record patient medical histories.,"Record patients' medical information and vital signs., Monitor - record - and report symptoms or changes in patients' conditions.",Prelicensure Nursing,Professional Practice,Registered Nurse Apprenticeship,Unspecified,Recognize Cues,Nursing process,"WPS process: Record patient medical histories.; variants: 2074:time_based, 2074CB:competency_based, 2074HY:hybrid, 3056:time_based, 3056CB:competency_based, 3056HY:hybrid; source rows: wps_competency_2074.docx#T2:R3; wps_competency_2074.docx#T2:R4; wps_competency_3056.docx#T2:R3; wps_competency_3056.docx#T2:R4; wps_hybrid_2074.docx#T2:R2; wps_hybrid_2074.docx#T2:R3; wps_hybrid_3056.docx#T2:R2; wps_hybrid_3056.docx#T2:R3; wps_time_2074.docx#T2:R2; wps_time_2074.docx#T2:R3; wps_time_3056.docx#T2:R2; wps_time_3056.docx#T2:R3; crosswalk_data: C:\Users\RHarrity\Documents\Codex\rn_wps_prelicensure_crosswalk_workset_2026-06-12\build\intermediate\rn_wps_prelicensure_crosswalk_data.json",sourced,true,RN-WPS-032
