,,Safety and Infection Control,Basic Care and Comfort,Pharmacological and Parenteral Therapies,Physiological Adaptation,Health Promotion and Maintenance,Psychosocial Integrity,Reduction of Risk Potential,Management of Care
 ,Self-Care: Rest and Sleep ,,,X,,X,,,
Nurse's Touch: Nursing Informatics and Technology ,,X,X,X,X,X,X,X,X
 ,Informatics ,X,,,,,,,
 ,Literacy Skills and Consumer Educational Needs ,X,,,,,,,
 ,Information Management Systems ,X,,,,,,,
 ,Virtual Social Networks ,X,,,,,,,
Nurse's Touch: Professional Communication ,,X,X,X,X,X,X,X,X
,Types of Communication ,X,,,,,,,
 ,Therapeutic Communication ,X,,,,,,,
,Organizational Communication,X,,,,,,,
 ,Factors that Affect Communication with Individuals and Groups ,X,,,,,,,
 ,Client Education ,X,,,,,,,
Nurse's Touch: Becoming a Professional Nurse ,,X,X,X,X,X,X,X,X
 ,Profession and Professional Identity ,X,,,,,,,
 ,Professional Nursing Practice ,X,,,,,,,
 ,Professional Behaviors in Nursing ,X,,,,,,,
 ,Socialization into Professional Nursing ,X,,,,,,,
Nurses Touch: The Leader ,,X,X,X,X,X,X,X,X
 ,"Case 1 Beverly, a day-shift charge nurse on a busy medical-surgical unit, must make decisions about assigning and delegating care, managing her own time, providing feedback to Tina, and serving as a coach for Cynthia. Cynthia is a newly licensed nurse who has the challenge of prioritizing, delegating, and supervising care on a busy medical-surgical unit ",X,,X,,X,,,X
 ,"Case 2: Beverly must direct Sarah Crane, an RN floating to the medical-surgical unit, about actions to take in regard to Mr. Adams, who is three days postoperative a total hip arthroplasty and fell during the night shift. ",,X,X,,X,,,X
 ,"Case 3: Beverly must use good communication and conflict-management skills when responding to Dr. Craig, who is upset about the report he received from Sarah regarding Mr. Adams’ fall. ",,X,,,,,X,
 ,Case 4: Beverly is attending a quality improvement team meeting. The team is discussing the increase in the rate of client falls on their medical-surgical unit.,,X,,,,,X,
 ,"Case 5:  Margaret Neely is the case manager and the leader of the team. She discusses decentralized management with Sarah, and the concept of case management and use of clinical pathways with the team. ",X,,,,,,,
Nurses Touch: The Communicator 2.0 ,,X,X,X,X,X,X,X,X
The Communicator Overview,Technique Identifier: Client experiencing aphasia ,,,,,,,,X
 ,Technique Identifier: Client experiencing thrombosis ,,,,,,,,X
 ,Technique Identifier: Client experiencing a stroke ,,,,,,,,X
 ,Technique Identifier: Client undergoing surgery ,,X,,,,,,X
 ,Technique Identifier: Respecting clients' cultures ,X,,,,,,,X
 ,Technique Identifier: Client undergoing weight-loss surgery ,,,,,,,,X
 ,Technique Identifier: Client living with asthma ,,,,,X,,,X
 ,Technique Identifier: Client undergoing colorectal surgery ,,,,,,,,X
 ,Technique Identifier: Client undergoing knee surgery ,,,,,,,,X
 ,Technique Identifier: Client discharge planning ,X,,X,,,,,X
 ,Video Interaction: Clients displaying aggressive behavior ,,,,,,,,X
 ,Video Interaction: Aging client ,X,,,,X,,,X
 ,Video Interaction: Family in a stressful situation ,X,,,,X,,,
 ,Video Interaction: Role as interprofessional team member ,X,,,,,,,
 ,Video Interaction: Client comfort and end-of-life care ,,,,X,X,,,X
,Video Interaction:Client care through telehealth,X,,,,,,,X
 ,Virtual Interaction: Clients and their nutritional needs ,,,X,,X,,,X
 ,Virtual Interaction: Adolescent clients and performance enhancement substances ,,X,,X,,,,X
 ,Virtual Interaction: Adult clients at risk for medication misuse and suicide ,,X,,X,,,,
 ,Virtual Interaction: Adult clients misusing alcohol ,,X,,X,,,,
 ,Virtual Interaction: Adolescent clients at risk for suicide ,,X,,X,,,,
Real Life RN Medical Surgical  ,,X,X,X,X,X,X,X,X
Real Life Showcase,Chronic Kidney Disease,,X,X,,X,,,X
 ,COPD,,,X,,,,,X
,GI Bleed,,,X,,,,,X
 ,Infectious Diease ,,,X,,,,,X
,Myocardial Infarction Complications,,,X,,,,,X
,Total Hip Arthroplasty,,X,X,,X,,,X
 ,Urinary Tract Infection (Sepsis from Urinary Source) ,,X,X,,X,,,X
Real Life RN Maternal Newborn,,,,,,,,,
,Gestational Diabetes ,,,X,,,,,X
,Postpartum Hemorrhage ,,,X,,,,,X
,Preeclampsia ,,,X,,,,,X
,Pre-Term Labor ,,,X,,,,,X
,Teaching Prenatal & Newborn Care ,,X,X,,X,,X,X
Real Life Mental Health,,,,,,,,,
,Alcohol Use Disorder ,,,X,,,,,X
,Anxiety Disorder ,,,X,X,,,,X
,Bipolar Disorder,,,X,X,,,,X
,Major Depressive Disorder,,,X,X,,,,X
,Schizophrenia ,,,X,X,,,,X
Real Life RN Nursing Care of Children,,,,,,,,,
,Cystic Fibrosis Community Care ,,X,X,,,,,x
,Cystic Fibrosis Inpatient Care ,,X,X,,,,,x
,Gastroenteritis & Dehydration,,,X,,,,,x
,Type I Diabetes Mellitus,,X,X,,,,,x
,Well Child ,,,X,,,,X,
Health Assess,,X,X,X,X,X,X,X,X
HealthAssess Showcase,Introduction to health assessment,X,,,,,,,
,General survey,X,,,,,,,X
,Health history,X,,,,,,,X
,Skin,,,,,,,,X
,"Head, neck and neurological",,,,,,,,X
,Respiratory,,,,,X,,,X
,Cardiovascular,,,,,X,,,X
,Abdomen,,,,,,,,X
,Musculoskeletal and neurological,,,,,,,,X
,Head-to-toe,,,,,,,,X
,Breast and lymphatics,,,,,,,,X
,Rectum and genitourinary,,,,,,,,X
,Older Adult,,,,,,,,X
,Maternal Newborn,,,,,,,,X
,Pediatric Nursing,,,,,,,,X
,Virtual Focused Assessment:Amara Hill:General Survey,,X,,,X,,,X
,Virtual Focused Assessment:Amara Hill:Health History,,X,,,X,,,X
,Virtual Focused Assessment:Jeremy Reily:Skin,,X,,,X,,,X
,Virtual Focused Assessment:Deion Barnes:Head Neck and Neuro,,X,,,X,,,X
,Virtual Focused Assessment:Lea Sek:Respiratory,,X,,,X,,,X
,Virtual Focused Assessment:Doris Anderson:Cardiovascular,,X,,,X,,,X
,Virtual Focused Assessment:Tamika Shaw:Abdomine,,X,,,X,,,X
,Virtual Focused Assessment:Ryan Martinez:Musculoskeletal and Neuro,,X,,,X,,,X
,Virtual Practice: Shirley Williamson,,X,,,X,,,X
,Virtual Practice: David Rodriguez,,X,,,X,,,X
,Virtual Practice: Harold Stevens,,X,,,X,,,X
,Virtual Practice: Claudia Pecheco: Older Adult,,X,,,X,,,
,Virtual Practice: Darien Oduya: Pediatric Nursing,,X,,,X,,,
,Virtual Practice: Alyssa Kane: Maternal,,X,,,X,,,
,Virtual Practice: Amelia Kane: Newborn,,X,,,X,,,
,Virtual Practice: Diane Radford,,X,,,X,,,X
,Virtual Practice: Timothy Lee (head-to-toe),,X,,,X,,,X
EHR Tutor,,X,X,X,X,X,X,X,X
EHR Tutor Showcase,,X,X,X,X,X,X,X,X
Video Case Studies ,,X,X,X,X,X,X,X,X
Video Case Studies Showcase,Nutrition: ADLs,,,X,,X,,,
,Safety: Adverse Reactions to Medications,,X,,,,X,X,
,Diversity: Cultural Diversity,X,,,X,,,,
,Health Care Law: HIPAA,X,,,,,,,
,Safety: Standard Precautions,X,X,,,,X,,
,Safety: Look- and Sound-Alike Medication,,X,,,,X,,
,Safety: Preventing Medication Errors,X,X,,,,X,,
,Health Promotion/Wellness/Disease Prevention: Oral Care,X,,X,,,,,
,Collaboration/Teamwork: Interprofessional Collaboration,X,,,,,,,
,Acid-Base Balance: Respiratory Alkalosis,,,,,,,,X
,Fluid & Electrolyte Balance: Chronic Renal Failure,,,,,,,,X
,Communication: Handoff Reporting,X,,,,,,,
,Fluid & Electrolyte Balance: Heart Failure,,,,,,,,X
,Gas Exchange/Oxygenation: Oxygen Delivery Systems,,,,,X,,,X
,Pain: Pain Management,,,,X,X,,,
,End of Life: Palliative Care and Hospice Care,,,,X,X,,,
,Infection: Urinary Tract Infection,,X,,,X,,,X
,Tissue Integrity: Wound Evisceration,,X,,,,,,
,Informatics: Documenting in the Electronic Medical Record,X,,,,,,,
,Immunity: Blood Transfusion Reaction,,X,,,,,,X
,Fluid and Electrolyte Balance: Chronic Kidney Failure and Hemodialysis,,,,,,,,X
,Infection: Urosepsis,,X,,,X,,,X
,Infection: Urosepsis Part 1 and Part 2,,X,,,X,,,
,Perfusion: Cardiac cath with stent,X,,,,,,,X
,Stress and Coping: Generalized Anxiety Disorder,,,,X,,,,
,Mood and Affect: Bipolar Disorder,,,,X,,,,
,Mood and Affect: Depression,,,,X,,,,
,Cognition: Dementia and Delirium,,,,X,,,,
,Communication: Therapeutic/Nontherapeutic,X,,,,,,,
, Cognition: Schizophrenia Part 1 and Part 2 ,,,,X,,,,
,Human Growth and Development: Developmental Assessment,,,,,X,,,X
,Safety: Metered-Dose Inhalers,,X,,,,X,,
,Gas Exchange/Oxygenation: Pediatric Asthma,,,,,X,,,X
,Fluid & Electrolyte Balance: Pediatric Dehydration,,,,,,,,X
,Metabolism: Type 1 Diabetes Mellitus,,X,,,,,,X
,Health promotion/wellness/disease prevention: Scoliosis screening,,,X,,X,,X,X
,Comfort: Interventions for Hospitalized Pediatric Client,,,X,,X,,,X
,Pain: Pediatric Pain Assessment,,,,X,X,,,X
,Metabolism: Type 1 Diabetes Mellitus Management Part 1 and Part 2,,,,,,,,X
,Reproduction: Apgar Scoring,,,X,,X,,,X
,Nutrition: Breastfeeding,,,X,,,,,
,Reproduction: Complications of Pregnancy,X,,X,,,,,
,Reproduction: Postpartum Hemorrhage,,,,,,,,X
,Reproduction: Gestational Age Assessment,X,,X,,,,,
,Reproduction: Prenatal Education Part 1 and Part 2,X,,,,,,,
,Teaching and Learning/Patient Education: Medication Interactions,X,,,,,X,X,
,Safety: Mixing Insulins,,X,,,,X,,
,Safety: Pharmacology Across the Lifespan,,X,,,,X,,
,Safety: Polypharmacy,,X,,,,X,,
,Safety: Safe Dosage,,X,,,,X,,
, Safety: Dosage calculation of critical care medication ,,X,,,,X,,
,Health Care Law: Client Rights and Informed Consent,X,,,,,,,
,Critical Thinking/Clinical Reasoning/Clinical Judgment: Nursing Process and Priority Setting,X,X,X,,,,,
,Nutrition: Management of Enteral Nutrition,,,X,,,,,
,Critical Thinking/Clinical Reasoning/Clinical Judgment: Mass Casualty Triage/Disaster Management,X,X,X,,,,,
,Gas exchange/oxygenation: Cystic fibrosis Part 1 and Part 2,,,,,,,,X
,Gas Exchange Oxygenation: Cystic Fibrosis: Identifying Health concerns client is at risk for developing,,X,,,,,,
Engage Fundamentals,,X,X,X,X,X,X,X,X
Engage Fundamentals Showcase,Nursing Foundations,X,,,,,,,
,Scope and Standards of Practice,X,,,,,,,
,Health Care Delivery,X,,,,,,,
,"Health Promotion, Wellness, and Disease Prevention",X,,,,,,,
,Health Policy,X,,,,,,,
,Communication,X,,,,,,,
,Documentation,X,,,,,,,
,Ethical and Legal Considerations,X,,,,,,,
,Professionalism and Leadership,X,,,,,,,
,Clinical Judgment Process,X,,,,,,,
,Priority-Setting Frameworks,X,,,,,,,
,Managing Client Care,X,,,,X,,,
,Collaboration and Teamwork,X,,,,,,,
,Evidence-Based Practice,X,,,,,,,
,Informatics,X,,,,,,,
,Patient-Centered Care,X,,,,,,,
,Quality Improvement,,,X,,,,,
,Safety,,X,,,,,,
,Infection Control and Isolation,,X,,,,,,
,Complementary and Integrative Health,,,X,,X,,,
,Medication Administration ,,,,,,X,,
,Mobility ,,X,,,X,,,
,Client Education ,X,,,,,,,
,Vital Signs ,,,,,,,,X
,Human Growth and Development,,,,,X,,,
,"Inclusion, Equity and Diversity",X,,,,,,,
,Grief,,,,X,,,,
,Self-Concept,,,,X,,,,
,Stress and Coping,,,,X,,,,
,"Comfort, Rest and Sleep",,,,X,,,,X
,End-of-Life Care,X,,,X,,,,X
,Elimination,,,,,,,,X
,"Fluid , Electrolyte, and Acid-Base Regulation",,,,,,,,X
,Gas Exchange and Oxygenation,,,,,,,,X
,Hygiene,,,X,,,,,
,Nutrition,,,X,,,,,
,Pain,,,,X,,,,X
,Sensory Perception,,,,,X,,,X
,The Surgical Client,,X,,,,,,X
,Tissue Integrity,,X,,,,,,X
Engage Mental Health,,X,X,X,X,X,X,X,X
,Client and Mental Health Team Member Safety: Legal & Ethical Considerations,X,,,X,,,,
,Continuum of Treatment,X,,X,X,,,,
,Evidence-Based Practice in Mental Health Nursing,,X,,X,,,,
,Foundational Concepts of Mental Health Nursing,X,,,X,,,,
,Mental Health Theories & Therapies,,,,X,,,,
,Building Therapeutic Relationships,X,,,X,,,,
,Nursing Process,X,,,X,,,,
,Psychopharmacology,,,,X,,X,,
,"Abuse, Aggression, and Violence",,,,X,,,,
,Grief and Loss,,,,X,,,,
,Physiological and Psychological Responses to Stress ,,,X,X,,,,
,"Anxiety, Obsessive-Compulsive, and Related Disorders",,,,X,,,,
,Disruptive Behavioral Disorders,,,,X,,,,
,Eating Disorders,,,,X,,,,
,Mood Disorders and Suicide,,,,X,,,,
,Neurocognitive Disorders,,,,X,,,,
,Neurodevelopmental Disorders,,,,X,,,,
,Personality Disorders,,,,X,,,,
,Schizophrenia Spectrum Disorders and Psychosis,,,,X,,,,
,Somatic Symptom and Dissociative Disorders,,,,X,,,,
,Substance-Related and Addiction Disorders,,,,X,,,,
,"Trauma, Crisis, Disaster, and Related Disorders",,,,X,,,,
Engage Community & Public Health,,X,X,X,X,X,X,X,X
,Historical Influences on Community and Public Health,X,X,,,,,,
,"Introduction to Community, Population, Public, and Global Health ​",,,X,,,,,
,Principles in Community and Public Health Nursing ​,,,X,,,,,
,Economic Influences​,X,,,,,,,
,Environmental Influences,X,,,,,,,
,Individual Influences ​,X,,,,,,,
,Social Influences​  (Windshield Survey),X,,,,,,,
,Epidemiology,X,,,,,,,
,Evidence-Based Practice ​,,,X,,,,,
,Prevention and Control of Diseases and Illnesses  ​,X,,X,,,,,
,"Community Program Planning, Implementation, and Evaluation​    (Windshield Survey)",X,,X,,,,,
,Emergency Preparedness and Management​,X,,,,,,,
,Health Education ​,X,,X,,,,,
,Adults,X,,,,X,,,
,Children,X,,,,X,,,
,Family,X,,,,X,,,
,At-Risk and Vulnerable Populations and Related Effects on Health  ​,X,,X,X,,,,X
,Violence and Abuse ,X,,,X,,,,
Engage Medical Surgical Nursing,,X,X,X,X,X,X,X,X
,Professional Nursing,X,X,X,X,X,X,X,X
,Wellness to Illness Continuum,X,X,X,X,X,X,X,X
,Illness,X,X,X,X,X,X,X,X
,End of Life,X,X,X,X,X,X,X,X
,Alterations in Endocrine Function,X,X,X,X,X,X,X,X
,Alterations in Gas Exchange,X,X,X,X,X,X,X,X
,Alterations in Digestion and Bowel Elimination,X,X,X,X,X,X,X,X
,Alterations in Hematologic Function,X,X,X,X,X,X,X,X
,Disrupted Homeostasis,,,,,,,,
,Alterations in Immunity and Inflammatory Process,X,X,X,X,X,X,X,X
,Cancer,X,X,X,X,X,X,X,X
,Alterations in Mobility,X,X,X,X,X,X,X,X
,Alterations in Cognition,X,,,X,X,,,
,Alterations in Neurologic Function,X,X,X,X,X,X,X,X
,Alterations in Sensory Perception,X,X,,,,,,
,Alterations in Cardiovascular Function and Perfusion,X,X,X,X,X,X,X,X
,Alterations in Sexual Function,X,X,X,X,X,X,X,X
,Alterations in Tissue Integrity,X,X,X,X,X,X,X,X
,Caring for the Surgical Client,X,X,X,X,X,X,X,X
,Introduction to Critical Care and Emergency Nursing,X,X,X,X,X,X,X,X
,Critical Alterations in Gas Exchange,X,X,X,X,X,X,X,X
,Critical Alterations in Perfusion,X,X,X,X,X,X,X,X
,Critical Neurologic Dysfunction,X,X,X,X,X,X,X,X
,Critical Endocrine Dysfunction,X,X,X,X,X,X,X,X
The NCLEX Experience,,X,X,X,X,X,X,X,X
 ,Item Type Videos ,,,,,,,,
,Clinical Judgment Case Study 1,X,,X,,X,,,X
,Clinical Judgment Case Study 2,X,,X,,X,,,X
 ,Clinical Judgment Single Episode,X,,X,,X,,,X
Review Modules: Print and eBooks ,,X,X,X,X,X,X,X,X
 ,Fundamentals of Nursing ,X,X,X,X,X,X,X,X
 ,Adult Med-Surg Nursing ,X,X,X,X,X,X,X,X
 ,Nursing Leadership & Management,X,X,X,X,X,X,X,X
 ,Maternal Newborn Nursing ,X,X,X,X,X,X,X,X
 ,Mental Health Nursing ,X,X,X,X,X,X,X,X
 ,Pediatrics,X,X,X,X,X,X,X,X
 ,Nutrition for Nursing ,X,X,X,X,X,X,X,X
 ,Pharmacology for Nursing ,X,X,X,X,X,X,X,X
Other Books for Complete Partners ,,X,X,X,X,X,X,X,X
 ,Learning Strategies ,,,,,,,,
 ,JBL Nurses Drug Handbook ,,,,,,X,,
ATI Capstone Content Review,,X,X,X,X,X,X,X,X
Virtual-ATI ,,X,X,X,X,X,X,X,X
Live Review: Customized or Comprehensive ,,X,X,X,X,X,X,X,X
BoardVitals ,,X,X,X,X,X,X,X,X
BoardVitals Showcase,Ante/Intra/Postpartum/Neonatal Care ,,,X,,X,,,
,Coordinated Care ,X,,,,,,,
,Gerontology ,X,,,,,,,X
 ,Health Promotion and Maintenance-General ,X,,X,,,,,
 ,Leadership/Management ,X,,,,,,,
 ,Medical-Surgical ,,,,,,,,X
 ,Pediatrics,,,,,X,,,X
 ,Physiologic Integrity-Basic Care and Comfort ,,,,,X,,,
 ,Physiologic Integrity-Pharmacological and Parenteral Therapies ,,,,,,X,,
 ,Physiologic Integrity-Physiologic Adaptation ,,,,,,,,X
 ,Physiologic Integrity-Reduction of Risk Potential ,,,,,,,X,X
 ,Psychiatric ,,,,X,,,,
 ,Psychosocial Integration-General ,,,,X,,,,
 ,Safety and Infection Control ,,,,,,,,
Swift River Virtual Clinicals,,X,X,X,X,X,X,X,X
Swift River Showcase,Talk to your ATI Representative about how Swift River Simuiations can address the various client  need categories ,X,X,X,X,X,X,X,X
